id,rank,overallRating,firstName,lastName,commonName,birthdate,height,skillMoves,weakFootAbility,preferredFoot,leagueName,weight,avatarUrl,shieldUrl,alternatePositions/0/id,alternatePositions/0/label,alternatePositions/0/shortLabel,playerAbilities/0/id,playerAbilities/0/label,playerAbilities/0/description,playerAbilities/0/imageUrl,playerAbilities/0/type/id,playerAbilities/0/type/label,playerAbilities/1/id,playerAbilities/1/label,playerAbilities/1/description,playerAbilities/1/imageUrl,playerAbilities/1/type/id,playerAbilities/1/type/label,gender/id,gender/label,nationality/id,nationality/label,nationality/imageUrl,team/id,team/label,team/imageUrl,team/isPopular,position/id,position/shortLabel,position/label,position/positionType/id,position/positionType/name,stats/acceleration/value,stats/acceleration/diff,stats/agility/value,stats/agility/diff,stats/jumping/value,stats/jumping/diff,stats/stamina/value,stats/stamina/diff,stats/strength/value,stats/strength/diff,stats/aggression/value,stats/aggression/diff,stats/balance/value,stats/balance/diff,stats/ballControl/value,stats/ballControl/diff,stats/composure/value,stats/composure/diff,stats/crossing/value,stats/crossing/diff,stats/curve/value,stats/curve/diff,stats/def/value,stats/def/diff,stats/defensiveAwareness/value,stats/defensiveAwareness/diff,stats/dri/value,stats/dri/diff,stats/dribbling/value,stats/dribbling/diff,stats/finishing/value,stats/finishing/diff,stats/freeKickAccuracy/value,stats/freeKickAccuracy/diff,stats/gkDiving/value,stats/gkDiving/diff,stats/gkHandling/value,stats/gkHandling/diff,stats/gkKicking/value,stats/gkKicking/diff,stats/gkPositioning/value,stats/gkPositioning/diff,stats/gkReflexes/value,stats/gkReflexes/diff,stats/headingAccuracy/value,stats/headingAccuracy/diff,stats/interceptions/value,stats/interceptions/diff,stats/longPassing/value,stats/longPassing/diff,stats/longShots/value,stats/longShots/diff,stats/pac/value,stats/pac/diff,stats/pas/value,stats/pas/diff,stats/penalties/value,stats/penalties/diff,stats/phy/value,stats/phy/diff,stats/positioning/value,stats/positioning/diff,stats/reactions/value,stats/reactions/diff,stats/sho/value,stats/sho/diff,stats/shortPassing/value,stats/shortPassing/diff,stats/shotPower/value,stats/shotPower/diff,stats/slidingTackle/value,stats/slidingTackle/diff,stats/sprintSpeed/value,stats/sprintSpeed/diff,stats/standingTackle/value,stats/standingTackle/diff,stats/vision/value,stats/vision/diff,stats/volleys/value,stats/volleys/diff,alternatePositions/0,alternatePositions/1/id,alternatePositions/1/label,alternatePositions/1/shortLabel,playerAbilities/2/id,playerAbilities/2/label,playerAbilities/2/description,playerAbilities/2/imageUrl,playerAbilities/2/type/id,playerAbilities/2/type/label,playerAbilities/3/id,playerAbilities/3/label,playerAbilities/3/description,playerAbilities/3/imageUrl,playerAbilities/3/type/id,playerAbilities/3/type/label,playerAbilities/4/id,playerAbilities/4/label,playerAbilities/4/description,playerAbilities/4/imageUrl,playerAbilities/4/type/id,playerAbilities/4/type/label,playerAbilities/5/id,playerAbilities/5/label,playerAbilities/5/description,playerAbilities/5/imageUrl,playerAbilities/5/type/id,playerAbilities/5/type/label,playerAbilities/6/id,playerAbilities/6/label,playerAbilities/6/description,playerAbilities/6/imageUrl,playerAbilities/6/type/id,playerAbilities/6/type/label,alternatePositions/2/id,alternatePositions/2/label,alternatePositions/2/shortLabel,team
258371,1311,77,Josep María,Chavarría Pérez,Pep Chavarría,4/10/1998 12:00:00 AM,174,3,1,2,LALIGA EA SPORTS,70,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p258371.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/258371.png?width=265,16,Left Midfielder,LM,trait1_33554432,Quick Step,Faster acceleration during Explosive Sprint,https://drop-assets.ea.com/images/1xG25Zp3wvkLA5YewKiZah/f27f5fabd1e899fc0bbb817d2db233b1/Quick_Step.png,playStyle,Play Style,trait1_67108864,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",https://drop-assets.ea.com/images/2vVuRxgvPNaAuFGqZZ9nDY/3e2505addd5a6b353becdeaf7173d187/Relentless.png,playStyle,Play Style,0,Men's Football,45,Spain,https://drop-assets.ea.com/images/Kv8okAYMsDbB3ZKbxrAXw/9d30c88d16a4c85002f35c6af412c6f7/f_45.png,480,Rayo Vallecano,https://drop-assets.ea.com/images/3SSzCmmavBBvrdJVySdnrm/f51360f07320e2dba9520037d3789543/l480.png,false,7,LB,Left Back,defense,Defense,81,0,72,0,79,0,86,0,72,0,67,0,71,0,75,0,65,0,75,0,72,0,71,0,69,0,74,0,75,0,63,0,51,0,9,0,10,0,15,0,10,0,14,0,60,0,73,0,68,0,65,0,83,0,71,0,46,0,75,0,75,0,70,0,62,0,73,0,60,0,72,0,84,0,75,0,72,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211361,1312,77,Danilo,Cataldi,,8/6/1994 12:00:00 AM,180,3,4,1,Serie A Enilive,70,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p211361.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/211361.png?width=250,14,Center Midfielder,CM,,,,,,,,,,,,,0,Men's Football,27,Italy,https://drop-assets.ea.com/images/2WtjWPqYzT7xcMCbvajGZH/d06e9ec4734a0d43d88f65386cc3a484/f_27.png,115841,Latium,https://drop-assets.ea.com/images/APtVhL3q3cFDG9pkum0Q4/cbfe542e327cc69c0890b8b5a189fad7/l115841.png,false,10,CDM,Center Defensive Midfielder,midfielder,Midfielder,72,0,73,0,72,0,76,0,62,0,75,0,75,0,79,0,79,0,69,0,80,0,73,0,75,0,77,0,77,0,66,0,80,0,7,0,10,0,11,0,12,0,9,0,66,0,76,0,76,0,79,0,68,0,77,0,52,0,69,0,67,0,80,0,71,0,81,0,82,0,71,0,64,0,73,0,77,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226491,1313,77,Kieran,Tierney,,6/5/1997 12:00:00 AM,180,3,3,2,Scottish Prem,73,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p226491.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/226491.png?width=265,16,Left Midfielder,LM,trait1_16384,Jockey,"Faster Sprint Jockey, better transition speed",https://drop-assets.ea.com/images/7lHjpOBSghE6Ywt1jgVv1C/21f9914d00f073d79d4b46cac71b9087/Jockey.png,playStyle,Play Style,trait1_134217728,Long Throw,Powerful throw-ins for greater distance,https://drop-assets.ea.com/images/51OlohNQvoEwW0aLhknAHh/58fa7d903d10f6d8cfa2622f62ba6b6f/Long_Throw.png,playStyle,Play Style,0,Men's Football,42,Scotland,https://drop-assets.ea.com/images/3LfmKqyBykOGZyfdSpENTr/ec3733dfa9526c8f6da96bf0f8c7448e/f_42.png,78,Celtic,https://drop-assets.ea.com/images/16GwjVn0vBxAdBx5F4uW0q/6a96b7c86f98010e0b9cd943dc48d4ca/l78.png,false,7,LB,Left Back,defense,Defense,77,0,75,0,76,0,67,0,71,0,84,0,73,0,76,0,75,0,80,0,73,0,75,0,76,0,76,0,77,0,52,0,56,0,13,0,16,0,8,0,12,0,13,0,59,0,77,0,68,0,66,0,76,0,75,0,42,0,73,0,72,0,76,0,60,0,78,0,79,0,76,0,76,0,77,0,74,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242818,1314,77,Finn,Dahmen,,3/27/1998 12:00:00 AM,188,1,3,1,Bundesliga,80,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p242818.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/242818.png?width=250,,,,trait2_2,Footwork,"Exclusive foot saves, better performance on low shots",https://drop-assets.ea.com/images/1s2muXoHUmP1T0vGYKXSl1/6d265b13804069371f16a58788703a33/Footwork.png,playStyle,Play Style,,,,,,,0,Men's Football,21,Germany,https://drop-assets.ea.com/images/6IIMMGk0Uj1rcZ6DSHTpLL/93f95b602dc62594104f418c8f80ebb3/f_21.png,100409,FC Augsburg,https://drop-assets.ea.com/images/1LMXVBp9QlIruHH6OejXOw/97f61074046861f13beaf6216a07edb5/l100409.png,false,0,GK,Goalkeeper,defense,Defense,52,0,52,0,63,0,33,0,55,0,20,0,56,0,30,0,33,0,14,0,13,0,52,0,19,0,80,0,25,0,8,0,12,0,76,0,70,0,81,0,76,0,80,0,12,0,13,0,37,0,6,0,76,0,81,0,11,0,76,0,9,0,77,0,70,0,42,0,61,0,11,0,53,0,12,0,54,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272926,1315,77,Lucas,Bergvall,,2/2/2006 12:00:00 AM,186,3,3,1,Premier League,74,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p272926.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/272926.png?width=265,10,Center Defensive Midfielder,CDM,trait1_16777216,Press Proven,"Close control at jog speed, shields ball more effectively",https://drop-assets.ea.com/images/5rUHwyLJRnvGV53Ba4Pj6M/9a3238695ae8103667ba02af391ac209/Press_Proven.png,playStyle,Play Style,,,,,,,0,Men's Football,46,Sweden,https://drop-assets.ea.com/images/4ts7Tmr55hzylhHNBA5xsw/073e32f2c968ae9d531bb1d013a350a0/f_46.png,18,Spurs,https://drop-assets.ea.com/images/7kUcyCh5xGrzQlcjP2Q9NH/11aba507486f44765ee5938b1b5b097e/l18.png,false,14,CM,Center Midfielder,midfielder,Midfielder,77,0,73,0,72,0,78,0,70,0,75,0,73,0,77,0,80,0,68,0,73,0,71,0,69,0,77,0,78,0,63,0,65,0,7,0,13,0,13,0,10,0,9,0,54,0,77,0,79,0,61,0,75,0,76,0,53,0,73,0,73,0,76,0,63,0,79,0,66,0,72,0,73,0,75,0,78,0,49,0,,18,Center Attacking Midfielder,CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221125,1316,77,Sebastián,Driussi,,2/9/1996 12:00:00 AM,178,3,3,1,LPF,80,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p221125.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/221125.png?width=265,18,Center Attacking Midfielder,CAM,trait1_256,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",https://drop-assets.ea.com/images/2K5BYfVYRnrdjt8F3hwI04/62f147b6a436c107bfa3d042c1d5728d/Incisive_Pass.png,playStyle,Play Style,trait1_2048,Tiki Taka,Accurate first-time Ground Passes,https://drop-assets.ea.com/images/2tvHC5JQ2sXrN8wUTJWLEA/94b0f6a78d1a9e1348a33c9772f23afd/Tiki_Taka.png,playStyle,Play Style,0,Men's Football,52,Argentina,https://drop-assets.ea.com/images/4xMXjEt7CFJ6JENYeG45Sk/836d733dc1642c5e4ab3338d91481436/f_52.png,1876,River Plate,https://drop-assets.ea.com/images/3a9cbBltvLpgMO1eByYVRq/bc311aba63f687dc0480c592dfeca1b4/l1876.png,false,25,ST,Striker,attack,Attack,81,0,82,0,87,0,72,0,84,0,70,0,80,0,80,0,77,0,66,0,70,0,45,0,37,0,80,0,80,0,75,0,70,0,11,0,14,0,14,0,14,0,10,0,70,0,32,0,71,0,76,0,84,0,72,0,70,0,78,0,79,0,76,0,75,0,74,0,76,0,47,0,86,0,51,0,74,0,75,0,,14,Center Midfielder,CM,trait1_8192,Inventive,Fancy and Trivela passes are performed with improved accuracy.,https://drop-assets.ea.com/images/4fpo31RdL5T0vrzNqcSc4x/f82209bfd51270dcc447d4313b3e61f1/Inventive.png,playStyle,Play Style,trait1_16777216,Press Proven,"Close control at jog speed, shields ball more effectively",https://drop-assets.ea.com/images/5rUHwyLJRnvGV53Ba4Pj6M/9a3238695ae8103667ba02af391ac209/Press_Proven.png,playStyle,Play Style,trait1_33554432,Quick Step,Faster acceleration during Explosive Sprint,https://drop-assets.ea.com/images/1xG25Zp3wvkLA5YewKiZah/f27f5fabd1e899fc0bbb817d2db233b1/Quick_Step.png,playStyle,Play Style,,,,,,,,,,,,,,,,
233934,1317,77,Aaron,Ramsdale,,5/14/1998 12:00:00 AM,191,1,3,1,Premier League,77,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p233934.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/233934.png?width=250,,,,trait2_4,Cross Claimer,"Unique punching animations, powerful punches, faster crosses coverage",https://drop-assets.ea.com/images/4Uvgm6UNiSz3say1zZqKDC/51837f53072d5e01063699f6d2b7401a/Cross_Claimer.png,playStyle,Play Style,trait2_32,Deflector,"Unique deflection animations, powerful parries to safer areas",https://drop-assets.ea.com/images/6nb9RYWNVuvUaLZDskFao7/0ad930b0874e7c9454b31de942c0d3f1/Deflector.png,playStyle,Play Style,0,Men's Football,14,England,https://drop-assets.ea.com/images/6ZM1OFXGUFeV0ZaYVKj2z/ae88ef17f8cb179fbc1c463f7e1e4bd8/f_14.png,13,Newcastle Utd,https://drop-assets.ea.com/images/69fXoaX4p9zFwKaZYoNtNX/14d86649a9b5a3f7e876cc3d46357b5d/l13.png,false,0,GK,Goalkeeper,defense,Defense,47,0,53,0,66,0,40,0,64,0,35,0,49,0,36,0,60,0,15,0,17,0,48,0,24,0,79,0,23,0,14,0,16,0,77,0,76,0,80,0,74,0,79,0,15,0,24,0,55,0,15,0,77,0,80,0,25,0,74,0,18,0,73,0,76,0,56,0,60,0,15,0,50,0,16,0,65,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237386,1318,77,Kiernan,Dewsbury-Hall,,9/6/1998 12:00:00 AM,176,3,3,2,Premier League,80,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p237386.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/237386.png?width=265,18,Center Attacking Midfielder,CAM,trait1_256,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",https://drop-assets.ea.com/images/2K5BYfVYRnrdjt8F3hwI04/62f147b6a436c107bfa3d042c1d5728d/Incisive_Pass.png,playStyle,Play Style,,,,,,,0,Men's Football,14,England,https://drop-assets.ea.com/images/6ZM1OFXGUFeV0ZaYVKj2z/ae88ef17f8cb179fbc1c463f7e1e4bd8/f_14.png,7,Everton,https://drop-assets.ea.com/images/6Cth6wtCt1i37ZjPMZKIm3/4c68def58bf71a34afa1870cad4d5cfe/l7.png,false,14,CM,Center Midfielder,midfielder,Midfielder,67,0,77,0,71,0,75,0,66,0,77,0,78,0,79,0,77,0,73,0,77,0,70,0,70,0,78,0,78,0,70,0,70,0,12,0,15,0,9,0,10,0,7,0,65,0,71,0,77,0,73,0,66,0,77,0,65,0,71,0,75,0,76,0,72,0,79,0,75,0,68,0,65,0,72,0,77,0,70,0,,10,Center Defensive Midfielder,CDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263781,1319,77,Vanderson,de Oliveira Campos,Vanderson,6/21/2001 12:00:00 AM,173,3,3,1,Ligue 1 McDonald's,74,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p263781.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/263781.png?width=265,,,,trait1_16384,Jockey,"Faster Sprint Jockey, better transition speed",https://drop-assets.ea.com/images/7lHjpOBSghE6Ywt1jgVv1C/21f9914d00f073d79d4b46cac71b9087/Jockey.png,playStyle,Play Style,trait1_65536,Intercept,Increased reach and possession retention in interceptions,https://drop-assets.ea.com/images/5ysv7Iw8jDHl7sp1JXqIa7/d34004fed8c95bde083dcf8257391a70/Intercept.png,playStyle,Play Style,0,Men's Football,54,Brazil,https://drop-assets.ea.com/images/1zdNn1R9tRlfQ3lsbAOecD/a606f742789b6306363383a6e20dd003/f_54.png,69,AS Monaco,https://drop-assets.ea.com/images/6XicH1VsjyR3WbTdpk99p3/8b11b6c53072e6c9c042eb77f3c6a8f4/l69.png,false,3,RB,Right Back,defense,Defense,79,0,76,0,77,0,77,0,67,0,71,0,79,0,76,0,74,0,77,0,69,0,72,0,71,0,77,0,78,0,63,0,72,0,8,0,8,0,6,0,6,0,7,0,68,0,72,0,67,0,59,0,78,0,74,0,49,0,71,0,72,0,75,0,62,0,76,0,62,0,74,0,78,0,74,0,74,0,61,0,,,,,trait1_1048576,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png,playStyle,Play Style,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232905,1320,77,Junya,Ito,,3/9/1993 12:00:00 AM,176,4,4,1,1A Pro League,66,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p232905.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/232905.png?width=265,23,Right Wing,RW,trait1_8,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",https://drop-assets.ea.com/images/1razu2wcM3XA82VvB7NyUm/eec6b07080e49d6bf2d7a7951a22375f/Dead_Ball.png,playStyle,Play Style,trait1_256,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",https://drop-assets.ea.com/images/2K5BYfVYRnrdjt8F3hwI04/62f147b6a436c107bfa3d042c1d5728d/Incisive_Pass.png,playStyle,Play Style,0,Men's Football,163,Japan,https://drop-assets.ea.com/images/1aoxCwnRS4A6LGlyhrUllt/b5b0cd61a299b9996821c16cc324cc3b/f_163.png,673,KRC Genk,https://drop-assets.ea.com/images/2064Z9wPzJbjkzW3n9b4RQ/ef883d28dde3104b3bea959320b4597a/l673.png,false,12,RM,Right Midfielder,midfielder,Midfielder,90,0,87,0,68,0,89,0,63,0,64,0,76,0,76,0,75,0,74,0,72,0,58,0,54,0,78,0,78,0,70,0,66,0,13,0,12,0,15,0,5,0,7,0,44,0,67,0,64,0,71,0,86,0,72,0,57,0,70,0,74,0,71,0,69,0,74,0,68,0,56,0,83,0,61,0,75,0,69,0,,,,,trait1_4096,Whipped Pass,"Accurate, faster crosses with more curve",https://drop-assets.ea.com/images/FfTP29PWrRWZjEaiCCVoa/a1b345e4ae7023ed78b1efd68d28f392/Whipped_Pass.png,playStyle,Play Style,trait1_8192,Inventive,Fancy and Trivela passes are performed with improved accuracy.,https://drop-assets.ea.com/images/4fpo31RdL5T0vrzNqcSc4x/f82209bfd51270dcc447d4313b3e61f1/Inventive.png,playStyle,Play Style,trait1_2097152,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",https://drop-assets.ea.com/images/1aGsvwKyIFlRG1eoJSS0Ot/a4d3d661ff962795a632fe86439d2146/Rapid.png,playStyle,Play Style,trait1_33554432,Quick Step,Faster acceleration during Explosive Sprint,https://drop-assets.ea.com/images/1xG25Zp3wvkLA5YewKiZah/f27f5fabd1e899fc0bbb817d2db233b1/Quick_Step.png,playStyle,Play Style,trait1_67108864,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",https://drop-assets.ea.com/images/2vVuRxgvPNaAuFGqZZ9nDY/3e2505addd5a6b353becdeaf7173d187/Relentless.png,playStyle,Play Style,,,,
