id,rank,overallRating,firstName,lastName,commonName,birthdate,height,skillMoves,weakFootAbility,preferredFoot,leagueName,weight,avatarUrl,shieldUrl,alternatePositions/0/id,alternatePositions/0/label,alternatePositions/0/shortLabel,playerAbilities/0/id,playerAbilities/0/label,playerAbilities/0/description,playerAbilities/0/imageUrl,playerAbilities/0/type/id,playerAbilities/0/type/label,playerAbilities/1/id,playerAbilities/1/label,playerAbilities/1/description,playerAbilities/1/imageUrl,playerAbilities/1/type/id,playerAbilities/1/type/label,gender/id,gender/label,nationality/id,nationality/label,nationality/imageUrl,team/id,team/label,team/imageUrl,team/isPopular,position/id,position/shortLabel,position/label,position/positionType/id,position/positionType/name,stats/acceleration/value,stats/acceleration/diff,stats/agility/value,stats/agility/diff,stats/jumping/value,stats/jumping/diff,stats/stamina/value,stats/stamina/diff,stats/strength/value,stats/strength/diff,stats/aggression/value,stats/aggression/diff,stats/balance/value,stats/balance/diff,stats/ballControl/value,stats/ballControl/diff,stats/composure/value,stats/composure/diff,stats/crossing/value,stats/crossing/diff,stats/curve/value,stats/curve/diff,stats/def/value,stats/def/diff,stats/defensiveAwareness/value,stats/defensiveAwareness/diff,stats/dri/value,stats/dri/diff,stats/dribbling/value,stats/dribbling/diff,stats/finishing/value,stats/finishing/diff,stats/freeKickAccuracy/value,stats/freeKickAccuracy/diff,stats/gkDiving/value,stats/gkDiving/diff,stats/gkHandling/value,stats/gkHandling/diff,stats/gkKicking/value,stats/gkKicking/diff,stats/gkPositioning/value,stats/gkPositioning/diff,stats/gkReflexes/value,stats/gkReflexes/diff,stats/headingAccuracy/value,stats/headingAccuracy/diff,stats/interceptions/value,stats/interceptions/diff,stats/longPassing/value,stats/longPassing/diff,stats/longShots/value,stats/longShots/diff,stats/pac/value,stats/pac/diff,stats/pas/value,stats/pas/diff,stats/penalties/value,stats/penalties/diff,stats/phy/value,stats/phy/diff,stats/positioning/value,stats/positioning/diff,stats/reactions/value,stats/reactions/diff,stats/sho/value,stats/sho/diff,stats/shortPassing/value,stats/shortPassing/diff,stats/shotPower/value,stats/shotPower/diff,stats/slidingTackle/value,stats/slidingTackle/diff,stats/sprintSpeed/value,stats/sprintSpeed/diff,stats/standingTackle/value,stats/standingTackle/diff,stats/vision/value,stats/vision/diff,stats/volleys/value,stats/volleys/diff,alternatePositions/0,playerAbilities/2/id,playerAbilities/2/label,playerAbilities/2/description,playerAbilities/2/imageUrl,playerAbilities/2/type/id,playerAbilities/2/type/label,playerAbilities/3/id,playerAbilities/3/label,playerAbilities/3/description,playerAbilities/3/imageUrl,playerAbilities/3/type/id,playerAbilities/3/type/label,alternatePositions/1/id,alternatePositions/1/label,alternatePositions/1/shortLabel,playerAbilities/4/id,playerAbilities/4/label,playerAbilities/4/description,playerAbilities/4/imageUrl,playerAbilities/4/type/id,playerAbilities/4/type/label,playerAbilities/5/id,playerAbilities/5/label,playerAbilities/5/description,playerAbilities/5/imageUrl,playerAbilities/5/type/id,playerAbilities/5/type/label,playerAbilities/6/id,playerAbilities/6/label,playerAbilities/6/description,playerAbilities/6/imageUrl,playerAbilities/6/type/id,playerAbilities/6/type/label,alternatePositions/2/id,alternatePositions/2/label,alternatePositions/2/shortLabel
234396,170,84,Alphonso,Davies,,11/2/2000 0:00,185,4,3,2,Bundesliga,77,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p234396.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/234396.png?width=265,16,Left Midfielder,LM,trait1_2097152,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",https://drop-assets.ea.com/images/1aGsvwKyIFlRG1eoJSS0Ot/a4d3d661ff962795a632fe86439d2146/Rapid.png,playStyle,Play Style,trait1_33554432,Quick Step,Faster acceleration during Explosive Sprint,https://drop-assets.ea.com/images/1xG25Zp3wvkLA5YewKiZah/f27f5fabd1e899fc0bbb817d2db233b1/Quick_Step.png,playStyle,Play Style,0,Men's Football,70,Canada,https://drop-assets.ea.com/images/6NVjftdldQXhdzrkDQccXB/0bbb62e54641cc2fc4c5e9f347319859/f_70.png,21,FC Bayern München,https://drop-assets.ea.com/images/3p0dv1pGWIH6lGAKZssZKH/4f70d2c5a3c147f3e006c863e85e4993/l21.png,FALSE,7,LB,Left Back,defense,Defense,95,0,84,0,95,0,79,0,75,0,72,0,83,0,85,0,78,0,85,0,72,0,74,0,72,0,85,0,85,0,64,0,44,0,11,0,11,0,6,0,5,0,14,0,74,0,79,0,71,0,63,0,94,0,78,0,54,0,76,0,77,0,86,0,66,0,84,0,74,0,73,0,93,0,74,0,77,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204935,173,84,Jordan,Pickford,,3/7/1994 0:00,185,1,4,2,Premier League,77,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p204935.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/204935.png?width=265,,,,trait1_1024,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",https://drop-assets.ea.com/images/7jwRDD4zkOsqRpc821t73d/16d46d57a5dfc7dd5dd5f8de0fd26a99/Long_Ball_Pass.png,playStyle,Play Style,trait2_1,Far Throw,Unique goalkeeper throw animations with longer throw distance,https://drop-assets.ea.com/images/3CjCz29sjIt1xMZTRDi4vQ/8ecb201b0ae7d6d536d03c847a768ffa/Far_Throw.png,playStyle,Play Style,0,Men's Football,14,England,https://drop-assets.ea.com/images/6ZM1OFXGUFeV0ZaYVKj2z/ae88ef17f8cb179fbc1c463f7e1e4bd8/f_14.png,7,Everton,https://drop-assets.ea.com/images/6Cth6wtCt1i37ZjPMZKIm3/4c68def58bf71a34afa1870cad4d5cfe/l7.png,FALSE,0,GK,Goalkeeper,defense,Defense,57,0,59,0,75,0,40,0,72,0,45,0,55,0,42,0,65,0,17,0,18,0,53,0,21,0,87,0,20,0,19,0,16,0,84,0,78,0,88,0,81,0,87,0,18,0,26,0,61,0,13,0,84,0,88,0,48,0,81,0,18,0,82,0,78,0,59,0,66,0,12,0,47,0,20,0,69,0,20,0,,trait2_2,Footwork,"Exclusive foot saves, better performance on low shots",https://drop-assets.ea.com/images/1s2muXoHUmP1T0vGYKXSl1/6d265b13804069371f16a58788703a33/Footwork.png,playStyle,Play Style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233096,174,84,Denzel,Dumfries,,4/18/1996 0:00,188,2,3,1,Serie A Enilive,80,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p233096.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/233096.png?width=265,12,Right Midfielder,RM,trait1_16,Precision Header,Performs headers with increased accuracy and power.,https://drop-assets.ea.com/images/3ync8fbblS4zLzF3p1VXmT/7752a5103c2ebd8be5cf1819379c66f4/Precision_Header.png,playStyle,Play Style,trait1_2097152,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",https://drop-assets.ea.com/images/1aGsvwKyIFlRG1eoJSS0Ot/a4d3d661ff962795a632fe86439d2146/Rapid.png,playStyle,Play Style,0,Men's Football,34,Holland,https://drop-assets.ea.com/images/7LmdSUm2Ge4fzqcz0NElvq/d272142c80713dcf0e5ec0a47232aeee/f_34.png,131682,Lombardia FC,https://drop-assets.ea.com/images/1thPMvXN97JgFvt6ASWr4c/d2ca0a691a98c344305bc0975ab70314/l131682.png,FALSE,3,RB,Right Back,defense,Defense,78,0,69,0,91,0,88,0,81,0,84,0,60,0,82,0,78,0,82,0,72,0,79,0,79,0,79,0,80,0,75,0,45,0,10,0,10,0,7,0,13,0,14,0,85,0,78,0,74,0,61,0,84,0,75,0,51,0,84,0,82,0,83,0,70,0,80,0,74,0,77,0,88,0,79,0,67,0,51,0,,trait1_33554432,Quick Step,Faster acceleration during Explosive Sprint,https://drop-assets.ea.com/images/1xG25Zp3wvkLA5YewKiZah/f27f5fabd1e899fc0bbb817d2db233b1/Quick_Step.png,playStyle,Play Style,trait1_134217728,Long Throw,Powerful throw-ins for greater distance,https://drop-assets.ea.com/images/51OlohNQvoEwW0aLhknAHh/58fa7d903d10f6d8cfa2622f62ba6b6f/Long_Throw.png,playStyle,Play Style,,,,,,,,,,,,,,,,,,,,,,,,
223848,175,84,Sergej,Milinković-Savić,,2/27/1995 0:00,192,4,5,1,ROSHN Saudi League,95,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p223848.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/223848.png?width=265,10,Center Defensive Midfielder,CDM,trait1_8,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",https://drop-assets.ea.com/images/1razu2wcM3XA82VvB7NyUm/eec6b07080e49d6bf2d7a7951a22375f/Dead_Ball.png,playStyle,Play Style,trait1_16,Precision Header,Performs headers with increased accuracy and power.,https://drop-assets.ea.com/images/3ync8fbblS4zLzF3p1VXmT/7752a5103c2ebd8be5cf1819379c66f4/Precision_Header.png,playStyle,Play Style,0,Men's Football,51,Serbia,https://drop-assets.ea.com/images/2GKu0zRZkrHdnQe5yZ5cSP/3ef9ea7c2fdd64aba769e1308bf133f0/f_51.png,605,Al Hilal,https://drop-assets.ea.com/images/S6sbDN9mfGaVn2VJDekYR/c6f580c98a0d614b0b308a89a241c6ab/l605.png,FALSE,14,CM,Center Midfielder,midfielder,Midfielder,60,0,58,0,88,0,92,0,90,0,79,0,62,0,87,0,84,0,71,0,81,0,78,0,77,0,81,0,84,0,81,0,83,0,7,0,10,0,7,0,16,0,7,0,86,0,76,0,86,0,80,0,62,0,81,0,64,0,88,0,83,0,80,0,80,0,82,0,82,0,80,0,64,0,76,0,84,0,74,0,,trait1_256,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",https://drop-assets.ea.com/images/2K5BYfVYRnrdjt8F3hwI04/62f147b6a436c107bfa3d042c1d5728d/Incisive_Pass.png,playStyle,Play Style,trait1_512,Pinged Pass,Faster ground passes without affecting receiver's trapping,https://drop-assets.ea.com/images/1mXBWIBgJSpYoIa1C4r5FX/7220e78a4049530f4e9fa642b1656fa4/Pinged_Pass.png,playStyle,Play Style,18,Center Attacking Midfielder,CAM,trait1_8192,Inventive,Fancy and Trivela passes are performed with improved accuracy.,https://drop-assets.ea.com/images/4fpo31RdL5T0vrzNqcSc4x/f82209bfd51270dcc447d4313b3e61f1/Inventive.png,playStyle,Play Style,trait1_524288,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,https://drop-assets.ea.com/images/3rsDbUXd3MZX39YTsk6lKe/404db89f2237eeb7466668a730c52a4b/Aerial_Fortress.png,playStyle,Play Style,trait1_4194304,First Touch,"Reduced trapping error, faster dribbling transition",https://drop-assets.ea.com/images/3f727XsoDVLbT49oMk0HBu/2787568be8ccb2d5daa2d18fabacad97/First_Touch.png,playStyle,Play Style,,,
251517,177,84,Joško,Gvardiol,,1/23/2002 0:00,185,3,5,2,Premier League,80,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p251517.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/251517.png?width=265,5,Center Back,CB,trait1_64,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",https://drop-assets.ea.com/images/1NfyWsEpQ7s9bhWWt92lbn/5b5dbeb0e55c2e9241cdc26c70ee2d2c/Low_Driven_Shot.png,playStyle,Play Style,trait1_512,Pinged Pass,Faster ground passes without affecting receiver's trapping,https://drop-assets.ea.com/images/1mXBWIBgJSpYoIa1C4r5FX/7220e78a4049530f4e9fa642b1656fa4/Pinged_Pass.png,playStyle,Play Style,0,Men's Football,10,Croatia,https://drop-assets.ea.com/images/4ZYNK06L8ZkJTrdtSby4NW/eb42cc852fc74ea3d3f5b8904fb5194f/f_10.png,10,Manchester City,https://drop-assets.ea.com/images/4asmNLic4aQn6cjlEg1t5u/88bea3ddd6c1f620bbf813041f248685/l10.png,FALSE,7,LB,Left Back,defense,Defense,77,0,68,0,88,0,81,0,80,0,86,0,67,0,80,0,81,0,73,0,74,0,84,0,84,0,78,0,78,0,68,0,59,0,5,0,8,0,6,0,9,0,11,0,80,0,84,0,76,0,74,0,78,0,75,0,61,0,82,0,69,0,85,0,71,0,81,0,81,0,84,0,79,0,85,0,70,0,60,0,,trait1_16384,Jockey,"Faster Sprint Jockey, better transition speed",https://drop-assets.ea.com/images/7lHjpOBSghE6Ywt1jgVv1C/21f9914d00f073d79d4b46cac71b9087/Jockey.png,playStyle,Play Style,icontrait1_32768,Block+,Greater reach and success in blocking,https://drop-assets.ea.com/images/55a6j8nZt1EKQeN9kaqiEs/a2d73085eee67e822161e082e82a8ee3/Block_.png,playStylePlus,Play Style Plus,16,Left Midfielder,LM,,,,,,,,,,,,,,,,,,,,,
241637,182,84,Aurélien,Tchouaméni,,1/27/2000 0:00,187,3,3,1,LALIGA EA SPORTS,81,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p241637.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/241637.png?width=265,14,Center Midfielder,CM,trait1_16,Precision Header,Performs headers with increased accuracy and power.,https://drop-assets.ea.com/images/3ync8fbblS4zLzF3p1VXmT/7752a5103c2ebd8be5cf1819379c66f4/Precision_Header.png,playStyle,Play Style,trait1_16384,Jockey,"Faster Sprint Jockey, better transition speed",https://drop-assets.ea.com/images/7lHjpOBSghE6Ywt1jgVv1C/21f9914d00f073d79d4b46cac71b9087/Jockey.png,playStyle,Play Style,0,Men's Football,18,France,https://drop-assets.ea.com/images/3ECAQzhfgSLWRf9IIHB6G8/7e235a7b2f93c1f73db7f89dc03b3657/f_18.png,243,Real Madrid,https://drop-assets.ea.com/images/Pk8nYrWuRt895RlhJx8jI/445d98b711f413a3a1e70c41b19b0f95/l243.png,TRUE,10,CDM,Center Defensive Midfielder,midfielder,Midfielder,73,0,72,0,84,0,83,0,82,0,80,0,70,0,81,0,82,0,68,0,76,0,81,0,81,0,78,0,78,0,65,0,53,0,9,0,8,0,12,0,12,0,7,0,75,0,83,0,84,0,75,0,71,0,79,0,55,0,82,0,74,0,82,0,69,0,85,0,78,0,80,0,70,0,83,0,81,0,50,0,,trait1_65536,Intercept,Increased reach and possession retention in interceptions,https://drop-assets.ea.com/images/5ysv7Iw8jDHl7sp1JXqIa7/d34004fed8c95bde083dcf8257391a70/Intercept.png,playStyle,Play Style,trait1_131072,Anticipate,"Improved standing tackle success, possibility of stopping ball at feet",https://drop-assets.ea.com/images/4xPnUcL7thizFB7qmhlwUR/1ade7a0f77d5e875c2db869964540a35/Anticipate.png,playStyle,Play Style,5,Center Back,CB,trait1_524288,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,https://drop-assets.ea.com/images/3rsDbUXd3MZX39YTsk6lKe/404db89f2237eeb7466668a730c52a4b/Aerial_Fortress.png,playStyle,Play Style,trait1_67108864,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",https://drop-assets.ea.com/images/2vVuRxgvPNaAuFGqZZ9nDY/3e2505addd5a6b353becdeaf7173d187/Relentless.png,playStyle,Play Style,trait1_268435456,Bruiser,Stronger physical tackles,https://drop-assets.ea.com/images/7euMJ2jVypFrFPQesWuGGm/14019168b12faac1584a2920d5c2d5d9/Bruiser.png,playStyle,Play Style,,,
239231,185,84,Marc,Cucurella Saseta,Marc Cucurella,7/22/1998 0:00,174,3,3,2,Premier League,66,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p239231.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/239231.png?width=265,,,,trait1_16384,Jockey,"Faster Sprint Jockey, better transition speed",https://drop-assets.ea.com/images/7lHjpOBSghE6Ywt1jgVv1C/21f9914d00f073d79d4b46cac71b9087/Jockey.png,playStyle,Play Style,trait1_32768,Block,Increased reach and success in blocking,https://drop-assets.ea.com/images/2Rlftzr8lqUdI29suCQVWe/43c6c36e8bd5fa26b88478d4354611a2/Block.png,playStyle,Play Style,0,Men's Football,45,Spain,https://drop-assets.ea.com/images/Kv8okAYMsDbB3ZKbxrAXw/9d30c88d16a4c85002f35c6af412c6f7/f_45.png,5,Chelsea,https://drop-assets.ea.com/images/6T0vfhzb3y9R6YVtmVwYcD/b99723a87536e30979c7cbdb8bba9310/l5.png,FALSE,7,LB,Left Back,defense,Defense,77,0,82,0,86,0,89,0,70,0,85,0,83,0,80,0,79,0,81,0,79,0,82,0,83,0,80,0,78,0,61,0,63,0,13,0,7,0,9,0,10,0,11,0,72,0,82,0,79,0,63,0,75,0,79,0,57,0,79,0,76,0,84,0,64,0,82,0,73,0,82,0,74,0,84,0,77,0,55,0,,trait1_16777216,Press Proven,"Close control at jog speed, shields ball more effectively",https://drop-assets.ea.com/images/5rUHwyLJRnvGV53Ba4Pj6M/9a3238695ae8103667ba02af391ac209/Press_Proven.png,playStyle,Play Style,trait1_67108864,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",https://drop-assets.ea.com/images/2vVuRxgvPNaAuFGqZZ9nDY/3e2505addd5a6b353becdeaf7173d187/Relentless.png,playStyle,Play Style,,,,,,,,,,,,,,,,,,,,,,,,
210035,190,84,Alejandro,Grimaldo García,Grimaldo,9/20/1995 0:00,171,4,2,2,Bundesliga,68,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p210035.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/210035.png?width=265,7,Left Back,LB,trait1_1,Finesse Shot,Faster finesse shots with more curve and accuracy,https://drop-assets.ea.com/images/468u1R1p2k1fA6WBHi0OEn/fb9d49ed2a8fb500cd5a184937b96b34/Finesse_Shot.png,playStyle,Play Style,trait1_8,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",https://drop-assets.ea.com/images/1razu2wcM3XA82VvB7NyUm/eec6b07080e49d6bf2d7a7951a22375f/Dead_Ball.png,playStyle,Play Style,0,Men's Football,45,Spain,https://drop-assets.ea.com/images/Kv8okAYMsDbB3ZKbxrAXw/9d30c88d16a4c85002f35c6af412c6f7/f_45.png,32,Leverkusen,https://drop-assets.ea.com/images/mGqQw1um1ucUAshcK0Eop/9c7fe656f526c98b217ff2a052377b5c/l32.png,FALSE,16,LM,Left Midfielder,midfielder,Midfielder,76,0,84,0,68,0,91,0,54,0,69,0,86,0,86,0,83,0,91,0,89,0,74,0,76,0,85,0,84,0,67,0,89,0,7,0,13,0,10,0,7,0,13,0,62,0,79,0,86,0,83,0,72,0,87,0,54,0,67,0,78,0,85,0,73,0,86,0,84,0,69,0,68,0,75,0,85,0,63,0,,trait1_8192,Inventive,Fancy and Trivela passes are performed with improved accuracy.,https://drop-assets.ea.com/images/4fpo31RdL5T0vrzNqcSc4x/f82209bfd51270dcc447d4313b3e61f1/Inventive.png,playStyle,Play Style,trait1_4194304,First Touch,"Reduced trapping error, faster dribbling transition",https://drop-assets.ea.com/images/3f727XsoDVLbT49oMk0HBu/2787568be8ccb2d5daa2d18fabacad97/First_Touch.png,playStyle,Play Style,27,Left Wing,LW,icontrait1_4096,Whipped Pass+,"Highly accurate, faster crosses with more curve and powerful driven crosses",https://drop-assets.ea.com/images/5m8PmfQfBiA1HRsIPRGgJ4/fd22942ce1c5fa608227ea0573a9e339/Whipped_Pass_.png,playStylePlus,Play Style Plus,,,,,,,,,,,,,,,
226851,191,84,Benjamin,Pavard,,3/28/1996 0:00,186,3,3,1,Ligue 1 McDonald's,81,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p226851.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/226851.png?width=250,,,,icontrait1_16384,Jockey+,"Increased max Sprint Jockey speed, improved transition",https://drop-assets.ea.com/images/6v06K0kg314Jd2SeVlVWFI/c0ac7c9179e3e7ebf9b26fb9d25897fb/Jockey_.png,playStylePlus,Play Style Plus,,,,,,,0,Men's Football,18,France,https://drop-assets.ea.com/images/3ECAQzhfgSLWRf9IIHB6G8/7e235a7b2f93c1f73db7f89dc03b3657/f_18.png,219,OM,https://drop-assets.ea.com/images/3t06Qm41tT2gB8NqJYXdue/928373951a71a9a8565497e6481925d1/l219.png,FALSE,5,CB,Center Back,defense,Defense,74,0,71,0,87,0,80,0,76,0,81,0,66,0,79,0,83,0,76,0,67,0,86,0,85,0,75,0,71,0,60,0,51,0,9,0,7,0,15,0,7,0,15,0,84,0,86,0,81,0,70,0,75,0,76,0,51,0,79,0,68,0,86,0,67,0,83,0,80,0,84,0,76,0,89,0,69,0,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247090,193,84,Enzo,Fernández,,1/17/2001 0:00,178,3,4,1,Premier League,76,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p247090.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/247090.png?width=265,10,Center Defensive Midfielder,CDM,trait1_4194304,First Touch,"Reduced trapping error, faster dribbling transition",https://drop-assets.ea.com/images/3f727XsoDVLbT49oMk0HBu/2787568be8ccb2d5daa2d18fabacad97/First_Touch.png,playStyle,Play Style,trait1_16777216,Press Proven,"Close control at jog speed, shields ball more effectively",https://drop-assets.ea.com/images/5rUHwyLJRnvGV53Ba4Pj6M/9a3238695ae8103667ba02af391ac209/Press_Proven.png,playStyle,Play Style,0,Men's Football,52,Argentina,https://drop-assets.ea.com/images/4xMXjEt7CFJ6JENYeG45Sk/836d733dc1642c5e4ab3338d91481436/f_52.png,5,Chelsea,https://drop-assets.ea.com/images/6T0vfhzb3y9R6YVtmVwYcD/b99723a87536e30979c7cbdb8bba9310/l5.png,FALSE,14,CM,Center Midfielder,midfielder,Midfielder,68,0,75,0,74,0,85,0,67,0,83,0,78,0,85,0,82,0,79,0,84,0,73,0,72,0,81,0,80,0,72,0,76,0,8,0,6,0,7,0,8,0,10,0,71,0,74,0,89,0,76,0,68,0,85,0,73,0,75,0,78,0,86,0,75,0,88,0,82,0,72,0,68,0,75,0,86,0,77,0,,trait1_67108864,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",https://drop-assets.ea.com/images/2vVuRxgvPNaAuFGqZZ9nDY/3e2505addd5a6b353becdeaf7173d187/Relentless.png,playStyle,Play Style,icontrait1_1024,Long Ball Pass+,"Even more accurate, faster Lob and Lofted Through Passes",https://drop-assets.ea.com/images/59ogaJFyi7JRTBfMF1MBHf/e7fe84a1da6b070a6a41460257b9ec59/Long_Ball_Pass_.png,playStylePlus,Play Style Plus,18,Center Attacking Midfielder,CAM,,,,,,,,,,,,,,,,,,,,,
