id,rank,overallRating,firstName,lastName,commonName,birthdate,height,skillMoves,weakFootAbility,preferredFoot,leagueName,weight,avatarUrl,shieldUrl,alternatePositions/0/id,alternatePositions/0/label,alternatePositions/0/shortLabel,playerAbilities/0/id,playerAbilities/0/label,playerAbilities/0/description,playerAbilities/0/imageUrl,playerAbilities/0/type/id,playerAbilities/0/type/label,playerAbilities/1/id,playerAbilities/1/label,playerAbilities/1/description,playerAbilities/1/imageUrl,playerAbilities/1/type/id,playerAbilities/1/type/label,playerAbilities/2/id,playerAbilities/2/label,playerAbilities/2/description,playerAbilities/2/imageUrl,playerAbilities/2/type/id,playerAbilities/2/type/label,gender/id,gender/label,nationality/id,nationality/label,nationality/imageUrl,team/id,team/label,team/imageUrl,team/isPopular,position/id,position/shortLabel,position/label,position/positionType/id,position/positionType/name,stats/acceleration/value,stats/acceleration/diff,stats/agility/value,stats/agility/diff,stats/jumping/value,stats/jumping/diff,stats/stamina/value,stats/stamina/diff,stats/strength/value,stats/strength/diff,stats/aggression/value,stats/aggression/diff,stats/balance/value,stats/balance/diff,stats/ballControl/value,stats/ballControl/diff,stats/composure/value,stats/composure/diff,stats/crossing/value,stats/crossing/diff,stats/curve/value,stats/curve/diff,stats/def/value,stats/def/diff,stats/defensiveAwareness/value,stats/defensiveAwareness/diff,stats/dri/value,stats/dri/diff,stats/dribbling/value,stats/dribbling/diff,stats/finishing/value,stats/finishing/diff,stats/freeKickAccuracy/value,stats/freeKickAccuracy/diff,stats/gkDiving/value,stats/gkDiving/diff,stats/gkHandling/value,stats/gkHandling/diff,stats/gkKicking/value,stats/gkKicking/diff,stats/gkPositioning/value,stats/gkPositioning/diff,stats/gkReflexes/value,stats/gkReflexes/diff,stats/headingAccuracy/value,stats/headingAccuracy/diff,stats/interceptions/value,stats/interceptions/diff,stats/longPassing/value,stats/longPassing/diff,stats/longShots/value,stats/longShots/diff,stats/pac/value,stats/pac/diff,stats/pas/value,stats/pas/diff,stats/penalties/value,stats/penalties/diff,stats/phy/value,stats/phy/diff,stats/positioning/value,stats/positioning/diff,stats/reactions/value,stats/reactions/diff,stats/sho/value,stats/sho/diff,stats/shortPassing/value,stats/shortPassing/diff,stats/shotPower/value,stats/shotPower/diff,stats/slidingTackle/value,stats/slidingTackle/diff,stats/sprintSpeed/value,stats/sprintSpeed/diff,stats/standingTackle/value,stats/standingTackle/diff,stats/vision/value,stats/vision/diff,stats/volleys/value,stats/volleys/diff,alternatePositions/0,playerAbilities/3/id,playerAbilities/3/label,playerAbilities/3/description,playerAbilities/3/imageUrl,playerAbilities/3/type/id,playerAbilities/3/type/label,alternatePositions/1/id,alternatePositions/1/label,alternatePositions/1/shortLabel,alternatePositions/2/id,alternatePositions/2/label,alternatePositions/2/shortLabel,playerAbilities/4/id,playerAbilities/4/label,playerAbilities/4/description,playerAbilities/4/imageUrl,playerAbilities/4/type/id,playerAbilities/4/type/label,playerAbilities/5/id,playerAbilities/5/label,playerAbilities/5/description,playerAbilities/5/imageUrl,playerAbilities/5/type/id,playerAbilities/5/type/label,playerAbilities/6/id,playerAbilities/6/label,playerAbilities/6/description,playerAbilities/6/imageUrl,playerAbilities/6/type/id,playerAbilities/6/type/label,team
208418,478,81,Yannick,Carrasco,,9/4/1993 12:00:00 AM,181,4,4,1,ROSHN Saudi League,73,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p208418.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/208418.png?width=265,16,Left Midfielder,LM,trait1_128,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,https://drop-assets.ea.com/images/2v8I0GQrtREaEJzJcyStKe/e46d719e4e5ed88ac5a1f671c7448f4a/Gamechanger.png,playStyle,Play Style,trait1_4096,Whipped Pass,"Accurate, faster crosses with more curve",https://drop-assets.ea.com/images/FfTP29PWrRWZjEaiCCVoa/a1b345e4ae7023ed78b1efd68d28f392/Whipped_Pass.png,playStyle,Play Style,trait1_1048576,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png,playStyle,Play Style,0,Men's Football,7,Belgium,https://drop-assets.ea.com/images/7eZLPoDDyxSlQoqcS4NVA2/6fc085dc7e85ccd7519be7ff2df875ee/f_7.png,111674,Al Shabab,https://drop-assets.ea.com/images/VTUgGrOQD2Ao8gd3KhDfS/d43f1f7d0af58701cce9229eb9771652/l111674.png,false,27,LW,Left Wing,attack,Attack,86,0,87,0,74,0,76,0,63,0,65,0,70,0,83,0,82,0,79,0,86,0,58,0,54,0,85,0,88,0,77,0,80,0,9,0,11,0,9,0,10,0,10,0,56,0,57,0,72,0,83,0,87,0,77,0,79,0,67,0,77,0,76,0,80,0,77,0,84,0,61,0,87,0,63,0,77,0,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233306,479,81,Dean,Henderson,,3/12/1997 12:00:00 AM,188,1,3,1,Premier League,85,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p233306.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/233306.png?width=250,,,,trait2_2,Footwork,"Exclusive foot saves, better performance on low shots",https://drop-assets.ea.com/images/1s2muXoHUmP1T0vGYKXSl1/6d265b13804069371f16a58788703a33/Footwork.png,playStyle,Play Style,,,,,,,,,,,,,0,Men's Football,14,England,https://drop-assets.ea.com/images/6ZM1OFXGUFeV0ZaYVKj2z/ae88ef17f8cb179fbc1c463f7e1e4bd8/f_14.png,1799,Crystal Palace,https://drop-assets.ea.com/images/6j7pLWl2t3yl13bu6Y9s5K/91a346d14011a610d95ec956816b6a38/l1799.png,false,0,GK,Goalkeeper,defense,Defense,55,0,61,0,69,0,32,0,64,0,35,0,56,0,35,0,60,0,14,0,13,0,55,0,15,0,82,0,13,0,9,0,10,0,82,0,78,0,77,0,80,0,82,0,13,0,11,0,48,0,6,0,82,0,77,0,16,0,80,0,8,0,81,0,78,0,45,0,58,0,14,0,56,0,14,0,55,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237646,481,81,Daniel,Muñoz,,5/26/1996 12:00:00 AM,181,3,3,1,Premier League,73,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p237646.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/237646.png?width=265,12,Right Midfielder,RM,trait1_16384,Jockey,"Faster Sprint Jockey, better transition speed",https://drop-assets.ea.com/images/7lHjpOBSghE6Ywt1jgVv1C/21f9914d00f073d79d4b46cac71b9087/Jockey.png,playStyle,Play Style,trait1_131072,Anticipate,"Improved standing tackle success, possibility of stopping ball at feet",https://drop-assets.ea.com/images/4xPnUcL7thizFB7qmhlwUR/1ade7a0f77d5e875c2db869964540a35/Anticipate.png,playStyle,Play Style,trait1_2097152,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",https://drop-assets.ea.com/images/1aGsvwKyIFlRG1eoJSS0Ot/a4d3d661ff962795a632fe86439d2146/Rapid.png,playStyle,Play Style,0,Men's Football,56,Colombia,https://drop-assets.ea.com/images/JphMzcFrWU7Uo2jq6GSep/d909b5b6000d5bf7515600d2c6db6375/f_56.png,1799,Crystal Palace,https://drop-assets.ea.com/images/6j7pLWl2t3yl13bu6Y9s5K/91a346d14011a610d95ec956816b6a38/l1799.png,false,3,RB,Right Back,defense,Defense,76,0,74,0,85,0,88,0,74,0,88,0,78,0,77,0,76,0,77,0,66,0,79,0,75,0,76,0,76,0,72,0,34,0,7,0,14,0,12,0,7,0,6,0,78,0,77,0,72,0,52,0,75,0,72,0,58,0,81,0,76,0,80,0,69,0,77,0,77,0,82,0,74,0,82,0,69,0,73,0,,trait1_67108864,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",https://drop-assets.ea.com/images/2vVuRxgvPNaAuFGqZZ9nDY/3e2505addd5a6b353becdeaf7173d187/Relentless.png,playStyle,Play Style,,,,,,,,,,,,,,,,,,,,,,,,,
208461,482,81,Marten,de Roon,,3/29/1991 12:00:00 AM,186,3,3,1,Serie A Enilive,76,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p208461.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/208461.png?width=265,10,Center Defensive Midfielder,CDM,trait1_1024,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",https://drop-assets.ea.com/images/7jwRDD4zkOsqRpc821t73d/16d46d57a5dfc7dd5dd5f8de0fd26a99/Long_Ball_Pass.png,playStyle,Play Style,trait1_65536,Intercept,Increased reach and possession retention in interceptions,https://drop-assets.ea.com/images/5ysv7Iw8jDHl7sp1JXqIa7/d34004fed8c95bde083dcf8257391a70/Intercept.png,playStyle,Play Style,trait1_524288,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,https://drop-assets.ea.com/images/3rsDbUXd3MZX39YTsk6lKe/404db89f2237eeb7466668a730c52a4b/Aerial_Fortress.png,playStyle,Play Style,0,Men's Football,34,Holland,https://drop-assets.ea.com/images/7LmdSUm2Ge4fzqcz0NElvq/d272142c80713dcf0e5ec0a47232aeee/f_34.png,115845,Bergamo Calcio,https://drop-assets.ea.com/images/19gWEcyonp2fvk02MNHZOA/83b82283fc62f7010b529a53a0724eee/l115845.png,false,14,CM,Center Midfielder,midfielder,Midfielder,53,0,59,0,74,0,90,0,73,0,86,0,69,0,81,0,83,0,70,0,61,0,83,0,82,0,76,0,77,0,70,0,54,0,14,0,15,0,7,0,12,0,12,0,75,0,83,0,84,0,78,0,61,0,77,0,80,0,80,0,70,0,78,0,74,0,85,0,79,0,79,0,67,0,88,0,74,0,65,0,,trait1_67108864,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",https://drop-assets.ea.com/images/2vVuRxgvPNaAuFGqZZ9nDY/3e2505addd5a6b353becdeaf7173d187/Relentless.png,playStyle,Play Style,,,,,,,,,,,,,,,,,,,,,,,,,
216352,483,81,Marcelo,Brozović,,11/16/1992 12:00:00 AM,181,3,4,1,ROSHN Saudi League,72,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p216352.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/216352.png?width=265,14,Center Midfielder,CM,trait1_1024,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",https://drop-assets.ea.com/images/7jwRDD4zkOsqRpc821t73d/16d46d57a5dfc7dd5dd5f8de0fd26a99/Long_Ball_Pass.png,playStyle,Play Style,trait1_16777216,Press Proven,"Close control at jog speed, shields ball more effectively",https://drop-assets.ea.com/images/5rUHwyLJRnvGV53Ba4Pj6M/9a3238695ae8103667ba02af391ac209/Press_Proven.png,playStyle,Play Style,trait1_67108864,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",https://drop-assets.ea.com/images/2vVuRxgvPNaAuFGqZZ9nDY/3e2505addd5a6b353becdeaf7173d187/Relentless.png,playStyle,Play Style,0,Men's Football,10,Croatia,https://drop-assets.ea.com/images/4ZYNK06L8ZkJTrdtSby4NW/eb42cc852fc74ea3d3f5b8904fb5194f/f_10.png,112139,Al Nassr,https://drop-assets.ea.com/images/6oPkjdKPFc4aHfFp7UGXB7/262e529bd81a51c0b5f317e61b3f5985/l112139.png,false,10,CDM,Center Defensive Midfielder,midfielder,Midfielder,62,0,79,0,73,0,93,0,72,0,85,0,84,0,82,0,82,0,73,0,79,0,78,0,75,0,79,0,77,0,68,0,74,0,8,0,8,0,15,0,11,0,8,0,70,0,79,0,80,0,83,0,63,0,78,0,69,0,80,0,65,0,75,0,73,0,81,0,80,0,81,0,64,0,83,0,79,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235944,484,81,Brais,Méndez Portela,Brais Méndez,1/7/1997 12:00:00 AM,187,4,3,2,LALIGA EA SPORTS,76,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p235944.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/235944.png?width=265,12,Right Midfielder,RM,trait1_1,Finesse Shot,Faster finesse shots with more curve and accuracy,https://drop-assets.ea.com/images/468u1R1p2k1fA6WBHi0OEn/fb9d49ed2a8fb500cd5a184937b96b34/Finesse_Shot.png,playStyle,Play Style,trait1_8,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",https://drop-assets.ea.com/images/1razu2wcM3XA82VvB7NyUm/eec6b07080e49d6bf2d7a7951a22375f/Dead_Ball.png,playStyle,Play Style,trait1_2048,Tiki Taka,Accurate first-time Ground Passes,https://drop-assets.ea.com/images/2tvHC5JQ2sXrN8wUTJWLEA/94b0f6a78d1a9e1348a33c9772f23afd/Tiki_Taka.png,playStyle,Play Style,0,Men's Football,45,Spain,https://drop-assets.ea.com/images/Kv8okAYMsDbB3ZKbxrAXw/9d30c88d16a4c85002f35c6af412c6f7/f_45.png,457,Real Sociedad,https://drop-assets.ea.com/images/2ohvULVVtNoXptjhNS2dLq/08d0f2d7ecfd9e0f43ce837a4e73d139/l457.png,false,14,CM,Center Midfielder,midfielder,Midfielder,72,0,75,0,80,0,71,0,73,0,74,0,56,0,84,0,80,0,79,0,77,0,65,0,63,0,81,0,83,0,82,0,78,0,10,0,5,0,10,0,12,0,8,0,71,0,62,0,82,0,80,0,70,0,82,0,76,0,73,0,81,0,82,0,80,0,84,0,81,0,61,0,69,0,69,0,84,0,69,0,,trait1_1048576,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png,playStyle,Play Style,18,Center Attacking Midfielder,CAM,,,,,,,,,,,,,,,,,,,,,,
259516,485,81,João Lucas,de Souza Cardoso,Johnny Cardoso,9/20/2001 12:00:00 AM,185,3,2,1,LALIGA EA SPORTS,83,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p259516.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/259516.png?width=265,14,Center Midfielder,CM,trait1_16,Precision Header,Performs headers with increased accuracy and power.,https://drop-assets.ea.com/images/3ync8fbblS4zLzF3p1VXmT/7752a5103c2ebd8be5cf1819379c66f4/Precision_Header.png,playStyle,Play Style,trait1_65536,Intercept,Increased reach and possession retention in interceptions,https://drop-assets.ea.com/images/5ysv7Iw8jDHl7sp1JXqIa7/d34004fed8c95bde083dcf8257391a70/Intercept.png,playStyle,Play Style,trait1_524288,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,https://drop-assets.ea.com/images/3rsDbUXd3MZX39YTsk6lKe/404db89f2237eeb7466668a730c52a4b/Aerial_Fortress.png,playStyle,Play Style,0,Men's Football,95,United States,https://drop-assets.ea.com/images/7ZVadlJQIutRH5P85wr76/c2456a2d76146d19f98c2c3071136dcf/f_95.png,240,Atlético de Madrid,https://drop-assets.ea.com/images/vYcueolPvaGx8blMqhPZ5/5dc3479fc8b85d475fd980c53fc2056f/l240.png,false,10,CDM,Center Defensive Midfielder,midfielder,Midfielder,74,0,78,0,83,0,77,0,77,0,75,0,57,0,82,0,75,0,65,0,69,0,80,0,78,0,78,0,77,0,63,0,66,0,10,0,14,0,8,0,12,0,7,0,75,0,82,0,81,0,68,0,72,0,76,0,62,0,77,0,74,0,77,0,67,0,82,0,74,0,79,0,71,0,81,0,76,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223885,487,81,Alexander,Nübel,,9/30/1996 12:00:00 AM,193,1,4,1,Bundesliga,86,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p223885.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/223885.png?width=250,,,,trait2_2,Footwork,"Exclusive foot saves, better performance on low shots",https://drop-assets.ea.com/images/1s2muXoHUmP1T0vGYKXSl1/6d265b13804069371f16a58788703a33/Footwork.png,playStyle,Play Style,trait2_32,Deflector,"Unique deflection animations, powerful parries to safer areas",https://drop-assets.ea.com/images/6nb9RYWNVuvUaLZDskFao7/0ad930b0874e7c9454b31de942c0d3f1/Deflector.png,playStyle,Play Style,,,,,,,0,Men's Football,21,Germany,https://drop-assets.ea.com/images/6IIMMGk0Uj1rcZ6DSHTpLL/93f95b602dc62594104f418c8f80ebb3/f_21.png,36,VfB Stuttgart,https://drop-assets.ea.com/images/5kfh9LrPvDQKbQNF6k7CSF/9a70e7082aaba3b46ea8bd1e699f62de/l36.png,false,0,GK,Goalkeeper,defense,Defense,49,0,34,0,71,0,39,0,74,0,23,0,58,0,41,0,69,0,15,0,20,0,48,0,23,0,82,0,26,0,18,0,20,0,81,0,76,0,84,0,78,0,82,0,13,0,20,0,48,0,18,0,81,0,84,0,16,0,78,0,10,0,81,0,76,0,55,0,63,0,13,0,46,0,14,0,65,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206085,488,81,Jacob,Murphy,,2/24/1995 12:00:00 AM,179,3,4,1,Premier League,74,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p206085.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/206085.png?width=265,12,Right Midfielder,RM,trait1_4096,Whipped Pass,"Accurate, faster crosses with more curve",https://drop-assets.ea.com/images/FfTP29PWrRWZjEaiCCVoa/a1b345e4ae7023ed78b1efd68d28f392/Whipped_Pass.png,playStyle,Play Style,,,,,,,,,,,,,0,Men's Football,14,England,https://drop-assets.ea.com/images/6ZM1OFXGUFeV0ZaYVKj2z/ae88ef17f8cb179fbc1c463f7e1e4bd8/f_14.png,13,Newcastle Utd,https://drop-assets.ea.com/images/69fXoaX4p9zFwKaZYoNtNX/14d86649a9b5a3f7e876cc3d46357b5d/l13.png,false,23,RW,Right Wing,attack,Attack,80,0,74,0,68,0,82,0,69,0,56,0,75,0,80,0,78,0,84,0,83,0,61,0,61,0,80,0,82,0,80,0,68,0,13,0,16,0,13,0,10,0,6,0,45,0,65,0,67,0,74,0,82,0,78,0,66,0,70,0,80,0,81,0,77,0,79,0,84,0,55,0,83,0,66,0,82,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193747,494,81,Jorge,Resurrección,Koke,1/8/1992 12:00:00 AM,176,3,4,1,LALIGA EA SPORTS,75,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p193747.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/193747.png?width=265,10,Center Defensive Midfielder,CDM,trait1_1024,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",https://drop-assets.ea.com/images/7jwRDD4zkOsqRpc821t73d/16d46d57a5dfc7dd5dd5f8de0fd26a99/Long_Ball_Pass.png,playStyle,Play Style,trait1_67108864,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",https://drop-assets.ea.com/images/2vVuRxgvPNaAuFGqZZ9nDY/3e2505addd5a6b353becdeaf7173d187/Relentless.png,playStyle,Play Style,,,,,,,0,Men's Football,45,Spain,https://drop-assets.ea.com/images/Kv8okAYMsDbB3ZKbxrAXw/9d30c88d16a4c85002f35c6af412c6f7/f_45.png,240,Atlético de Madrid,https://drop-assets.ea.com/images/vYcueolPvaGx8blMqhPZ5/5dc3479fc8b85d475fd980c53fc2056f/l240.png,false,14,CM,Center Midfielder,midfielder,Midfielder,62,0,68,0,72,0,83,0,75,0,78,0,81,0,81,0,84,0,85,0,84,0,76,0,78,0,78,0,77,0,69,0,77,0,14,0,12,0,5,0,10,0,13,0,61,0,80,0,81,0,75,0,61,0,83,0,67,0,77,0,76,0,80,0,72,0,83,0,82,0,70,0,60,0,79,0,83,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
