id,rank,overallRating,firstName,lastName,commonName,birthdate,height,skillMoves,weakFootAbility,preferredFoot,leagueName,weight,avatarUrl,shieldUrl,alternatePositions/0/id,alternatePositions/0/label,alternatePositions/0/shortLabel,playerAbilities/0/id,playerAbilities/0/label,playerAbilities/0/description,playerAbilities/0/imageUrl,playerAbilities/0/type/id,playerAbilities/0/type/label,playerAbilities/1/id,playerAbilities/1/label,playerAbilities/1/description,playerAbilities/1/imageUrl,playerAbilities/1/type/id,playerAbilities/1/type/label,playerAbilities/2/id,playerAbilities/2/label,playerAbilities/2/description,playerAbilities/2/imageUrl,playerAbilities/2/type/id,playerAbilities/2/type/label,playerAbilities/3/id,playerAbilities/3/label,playerAbilities/3/description,playerAbilities/3/imageUrl,playerAbilities/3/type/id,playerAbilities/3/type/label,gender/id,gender/label,nationality/id,nationality/label,nationality/imageUrl,team/id,team/label,team/imageUrl,team/isPopular,position/id,position/shortLabel,position/label,position/positionType/id,position/positionType/name,stats/acceleration/value,stats/acceleration/diff,stats/agility/value,stats/agility/diff,stats/jumping/value,stats/jumping/diff,stats/stamina/value,stats/stamina/diff,stats/strength/value,stats/strength/diff,stats/aggression/value,stats/aggression/diff,stats/balance/value,stats/balance/diff,stats/ballControl/value,stats/ballControl/diff,stats/composure/value,stats/composure/diff,stats/crossing/value,stats/crossing/diff,stats/curve/value,stats/curve/diff,stats/def/value,stats/def/diff,stats/defensiveAwareness/value,stats/defensiveAwareness/diff,stats/dri/value,stats/dri/diff,stats/dribbling/value,stats/dribbling/diff,stats/finishing/value,stats/finishing/diff,stats/freeKickAccuracy/value,stats/freeKickAccuracy/diff,stats/gkDiving/value,stats/gkDiving/diff,stats/gkHandling/value,stats/gkHandling/diff,stats/gkKicking/value,stats/gkKicking/diff,stats/gkPositioning/value,stats/gkPositioning/diff,stats/gkReflexes/value,stats/gkReflexes/diff,stats/headingAccuracy/value,stats/headingAccuracy/diff,stats/interceptions/value,stats/interceptions/diff,stats/longPassing/value,stats/longPassing/diff,stats/longShots/value,stats/longShots/diff,stats/pac/value,stats/pac/diff,stats/pas/value,stats/pas/diff,stats/penalties/value,stats/penalties/diff,stats/phy/value,stats/phy/diff,stats/positioning/value,stats/positioning/diff,stats/reactions/value,stats/reactions/diff,stats/sho/value,stats/sho/diff,stats/shortPassing/value,stats/shortPassing/diff,stats/shotPower/value,stats/shotPower/diff,stats/slidingTackle/value,stats/slidingTackle/diff,stats/sprintSpeed/value,stats/sprintSpeed/diff,stats/standingTackle/value,stats/standingTackle/diff,stats/vision/value,stats/vision/diff,stats/volleys/value,stats/volleys/diff,alternatePositions/0,alternatePositions/1/id,alternatePositions/1/label,alternatePositions/1/shortLabel,playerAbilities/4/id,playerAbilities/4/label,playerAbilities/4/description,playerAbilities/4/imageUrl,playerAbilities/4/type/id,playerAbilities/4/type/label,alternatePositions/2/id,alternatePositions/2/label,alternatePositions/2/shortLabel,playerAbilities/5/id,playerAbilities/5/label,playerAbilities/5/description,playerAbilities/5/imageUrl,playerAbilities/5/type/id,playerAbilities/5/type/label,team,playerAbilities/6/id,playerAbilities/6/label,playerAbilities/6/description,playerAbilities/6/imageUrl,playerAbilities/6/type/id,playerAbilities/6/type/label
233195,622,80,Xaver,Schlager,,9/28/1997 12:00:00 AM,174,3,3,2,Bundesliga,78,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p233195.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/233195.png?width=265,14,Center Midfielder,CM,trait1_256,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",https://drop-assets.ea.com/images/2K5BYfVYRnrdjt8F3hwI04/62f147b6a436c107bfa3d042c1d5728d/Incisive_Pass.png,playStyle,Play Style,trait1_16384,Jockey,"Faster Sprint Jockey, better transition speed",https://drop-assets.ea.com/images/7lHjpOBSghE6Ywt1jgVv1C/21f9914d00f073d79d4b46cac71b9087/Jockey.png,playStyle,Play Style,trait1_67108864,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",https://drop-assets.ea.com/images/2vVuRxgvPNaAuFGqZZ9nDY/3e2505addd5a6b353becdeaf7173d187/Relentless.png,playStyle,Play Style,trait1_268435456,Bruiser,Stronger physical tackles,https://drop-assets.ea.com/images/7euMJ2jVypFrFPQesWuGGm/14019168b12faac1584a2920d5c2d5d9/Bruiser.png,playStyle,Play Style,0,Men's Football,4,Austria,https://drop-assets.ea.com/images/2nTz63NpDfuBGFbmXrDg0N/eaa6fc81bfd7bd77d76886d479841ebb/f_4.png,112172,RB Leipzig,https://drop-assets.ea.com/images/1EoW6b2VkhiP3S0vqikd9s/f181f899a2037360f70a9a8aba18af30/l112172.png,false,10,CDM,Center Defensive Midfielder,midfielder,Midfielder,74,0,75,0,68,0,77,0,77,0,84,0,78,0,78,0,74,0,59,0,73,0,75,0,77,0,78,0,78,0,66,0,60,0,6,0,8,0,8,0,12,0,7,0,44,0,82,0,80,0,76,0,69,0,74,0,56,0,78,0,75,0,80,0,70,0,80,0,78,0,73,0,64,0,78,0,78,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,
200458,625,80,Lucas,Digne,,7/20/1993 12:00:00 AM,178,3,1,2,Premier League,74,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p200458.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/200458.png?width=265,16,Left Midfielder,LM,trait1_4096,Whipped Pass,"Accurate, faster crosses with more curve",https://drop-assets.ea.com/images/FfTP29PWrRWZjEaiCCVoa/a1b345e4ae7023ed78b1efd68d28f392/Whipped_Pass.png,playStyle,Play Style,trait1_134217728,Long Throw,Powerful throw-ins for greater distance,https://drop-assets.ea.com/images/51OlohNQvoEwW0aLhknAHh/58fa7d903d10f6d8cfa2622f62ba6b6f/Long_Throw.png,playStyle,Play Style,,,,,,,,,,,,,0,Men's Football,18,France,https://drop-assets.ea.com/images/3ECAQzhfgSLWRf9IIHB6G8/7e235a7b2f93c1f73db7f89dc03b3657/f_18.png,2,Aston Villa,https://drop-assets.ea.com/images/57c0ppYsEA88xL0gxqce8K/99605df97c6a96ea3b6e8a424c217af0/l2.png,false,7,LB,Left Back,defense,Defense,70,0,72,0,77,0,80,0,69,0,76,0,78,0,77,0,79,0,86,0,83,0,77,0,77,0,76,0,76,0,60,0,83,0,6,0,12,0,9,0,6,0,13,0,73,0,77,0,73,0,76,0,69,0,79,0,60,0,74,0,73,0,80,0,68,0,78,0,81,0,78,0,68,0,79,0,75,0,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,
210406,626,80,Piotr,Zieliński,,5/20/1994 12:00:00 AM,180,3,4,1,Serie A Enilive,75,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p210406.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/210406.png?width=265,,,,trait1_1048576,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png,playStyle,Play Style,,,,,,,,,,,,,,,,,,,0,Men's Football,37,Poland,https://drop-assets.ea.com/images/2ldG0tWskgN4waD1fBmnk1/24cbe80f6af25d3ab745fd339b024988/f_37.png,131682,Lombardia FC,https://drop-assets.ea.com/images/1thPMvXN97JgFvt6ASWr4c/d2ca0a691a98c344305bc0975ab70314/l131682.png,false,14,CM,Center Midfielder,midfielder,Midfielder,78,0,82,0,66,0,65,0,56,0,58,0,79,0,84,0,82,0,73,0,80,0,70,0,69,0,82,0,82,0,74,0,65,0,12,0,9,0,12,0,11,0,6,0,52,0,74,0,81,0,82,0,76,0,80,0,62,0,59,0,76,0,81,0,76,0,84,0,79,0,72,0,75,0,75,0,84,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,
186345,628,80,Kieran,Trippier,,9/19/1990 12:00:00 AM,173,3,4,1,Premier League,71,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p186345.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/186345.png?width=265,12,Right Midfielder,RM,trait1_8,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",https://drop-assets.ea.com/images/1razu2wcM3XA82VvB7NyUm/eec6b07080e49d6bf2d7a7951a22375f/Dead_Ball.png,playStyle,Play Style,trait1_1024,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",https://drop-assets.ea.com/images/7jwRDD4zkOsqRpc821t73d/16d46d57a5dfc7dd5dd5f8de0fd26a99/Long_Ball_Pass.png,playStyle,Play Style,trait1_4096,Whipped Pass,"Accurate, faster crosses with more curve",https://drop-assets.ea.com/images/FfTP29PWrRWZjEaiCCVoa/a1b345e4ae7023ed78b1efd68d28f392/Whipped_Pass.png,playStyle,Play Style,trait1_134217728,Long Throw,Powerful throw-ins for greater distance,https://drop-assets.ea.com/images/51OlohNQvoEwW0aLhknAHh/58fa7d903d10f6d8cfa2622f62ba6b6f/Long_Throw.png,playStyle,Play Style,0,Men's Football,14,England,https://drop-assets.ea.com/images/6ZM1OFXGUFeV0ZaYVKj2z/ae88ef17f8cb179fbc1c463f7e1e4bd8/f_14.png,13,Newcastle Utd,https://drop-assets.ea.com/images/69fXoaX4p9zFwKaZYoNtNX/14d86649a9b5a3f7e876cc3d46357b5d/l13.png,false,3,RB,Right Back,defense,Defense,68,0,67,0,78,0,74,0,66,0,76,0,79,0,79,0,80,0,89,0,87,0,80,0,80,0,77,0,76,0,54,0,87,0,11,0,14,0,8,0,11,0,10,0,79,0,80,0,83,0,71,0,66,0,83,0,66,0,71,0,74,0,81,0,65,0,80,0,81,0,79,0,64,0,80,0,81,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,
205157,629,80,Iñigo,Ruiz de Galarreta,Ruiz de Galarreta,8/6/1993 12:00:00 AM,175,3,3,1,LALIGA EA SPORTS,69,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p205157.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/205157.png?width=265,14,Center Midfielder,CM,trait1_16777216,Press Proven,"Close control at jog speed, shields ball more effectively",https://drop-assets.ea.com/images/5rUHwyLJRnvGV53Ba4Pj6M/9a3238695ae8103667ba02af391ac209/Press_Proven.png,playStyle,Play Style,,,,,,,,,,,,,,,,,,,0,Men's Football,45,Spain,https://drop-assets.ea.com/images/Kv8okAYMsDbB3ZKbxrAXw/9d30c88d16a4c85002f35c6af412c6f7/f_45.png,448,Athletic Club,https://drop-assets.ea.com/images/5lGGXYvaOCdAYlo8xWPzQb/7092243785809519c68b482ad21b2c41/l448.png,false,10,CDM,Center Defensive Midfielder,midfielder,Midfielder,73,0,81,0,69,0,84,0,70,0,82,0,87,0,80,0,82,0,74,0,73,0,76,0,79,0,79,0,77,0,60,0,62,0,12,0,6,0,13,0,7,0,12,0,51,0,78,0,80,0,70,0,69,0,77,0,47,0,76,0,74,0,79,0,65,0,80,0,73,0,80,0,66,0,80,0,79,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,
250753,630,80,Anatoliy,Trubin,,8/1/2001 12:00:00 AM,199,1,2,1,Liga Portugal,86,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p250753.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/250753.png?width=250,,,,trait2_2,Footwork,"Exclusive foot saves, better performance on low shots",https://drop-assets.ea.com/images/1s2muXoHUmP1T0vGYKXSl1/6d265b13804069371f16a58788703a33/Footwork.png,playStyle,Play Style,,,,,,,,,,,,,,,,,,,0,Men's Football,49,Ukraine,https://drop-assets.ea.com/images/6qDmsmOUdD4va3zMohbKhb/0074f5347b6d5908bf7c36de17f1e512/f_49.png,234,SL Benfica,https://drop-assets.ea.com/images/2DamHkQ1ZP1CYVjFPp6ofg/3e07292021842fdadb7aaaa84e7473aa/l234.png,false,0,GK,Goalkeeper,defense,Defense,49,0,36,0,68,0,33,0,69,0,28,0,45,0,29,0,50,0,11,0,13,0,45,0,9,0,84,0,13,0,9,0,13,0,77,0,76,0,77,0,83,0,84,0,12,0,9,0,32,0,8,0,77,0,77,0,18,0,83,0,6,0,76,0,76,0,37,0,58,0,11,0,38,0,11,0,64,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
225126,635,80,Ellyes,Skhiri,,5/10/1995 12:00:00 AM,185,3,3,1,Bundesliga,74,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p225126.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/225126.png?width=265,14,Center Midfielder,CM,trait1_65536,Intercept,Increased reach and possession retention in interceptions,https://drop-assets.ea.com/images/5ysv7Iw8jDHl7sp1JXqIa7/d34004fed8c95bde083dcf8257391a70/Intercept.png,playStyle,Play Style,trait1_16777216,Press Proven,"Close control at jog speed, shields ball more effectively",https://drop-assets.ea.com/images/5rUHwyLJRnvGV53Ba4Pj6M/9a3238695ae8103667ba02af391ac209/Press_Proven.png,playStyle,Play Style,trait1_67108864,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",https://drop-assets.ea.com/images/2vVuRxgvPNaAuFGqZZ9nDY/3e2505addd5a6b353becdeaf7173d187/Relentless.png,playStyle,Play Style,,,,,,,0,Men's Football,145,Tunisia,https://drop-assets.ea.com/images/5d2CSj7wnbW2ldgW4ro27v/6a5cdec5751bf2b14b73af27e8a4c006/f_145.png,1824,Frankfurt,https://drop-assets.ea.com/images/3KK76lJIZtlRnPaAgbD85V/5614e02825eb0ed03b69a9d078e40db9/l1824.png,false,10,CDM,Center Defensive Midfielder,midfielder,Midfielder,65,0,74,0,76,0,83,0,69,0,77,0,64,0,74,0,80,0,67,0,72,0,80,0,82,0,75,0,75,0,76,0,55,0,15,0,14,0,8,0,14,0,14,0,75,0,84,0,81,0,72,0,64,0,74,0,58,0,74,0,75,0,83,0,73,0,78,0,75,0,73,0,64,0,79,0,72,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,
227535,636,80,Rodrigo,Bentancur,,6/25/1997 12:00:00 AM,187,3,4,1,Premier League,73,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p227535.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/227535.png?width=265,14,Center Midfielder,CM,trait1_4194304,First Touch,"Reduced trapping error, faster dribbling transition",https://drop-assets.ea.com/images/3f727XsoDVLbT49oMk0HBu/2787568be8ccb2d5daa2d18fabacad97/First_Touch.png,playStyle,Play Style,,,,,,,,,,,,,,,,,,,0,Men's Football,60,Uruguay,https://drop-assets.ea.com/images/GRwJwZ17RfDveZX4N4L78/25beda9babb2d93a8ff7bb5487eb263b/f_60.png,18,Spurs,https://drop-assets.ea.com/images/7kUcyCh5xGrzQlcjP2Q9NH/11aba507486f44765ee5938b1b5b097e/l18.png,false,10,CDM,Center Defensive Midfielder,midfielder,Midfielder,63,0,64,0,70,0,72,0,70,0,78,0,69,0,81,0,82,0,74,0,71,0,78,0,78,0,79,0,81,0,68,0,68,0,8,0,7,0,14,0,14,0,12,0,64,0,83,0,80,0,65,0,64,0,78,0,67,0,72,0,73,0,78,0,68,0,82,0,71,0,77,0,65,0,80,0,78,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,
208268,638,80,Bryan,Cristante,,3/3/1995 12:00:00 AM,186,3,4,1,Serie A Enilive,80,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p208268.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/208268.png?width=265,10,Center Defensive Midfielder,CDM,trait1_16,Precision Header,Performs headers with increased accuracy and power.,https://drop-assets.ea.com/images/3ync8fbblS4zLzF3p1VXmT/7752a5103c2ebd8be5cf1819379c66f4/Precision_Header.png,playStyle,Play Style,trait1_524288,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,https://drop-assets.ea.com/images/3rsDbUXd3MZX39YTsk6lKe/404db89f2237eeb7466668a730c52a4b/Aerial_Fortress.png,playStyle,Play Style,,,,,,,,,,,,,0,Men's Football,27,Italy,https://drop-assets.ea.com/images/2WtjWPqYzT7xcMCbvajGZH/d06e9ec4734a0d43d88f65386cc3a484/f_27.png,52,AS Roma,https://drop-assets.ea.com/images/2ruQP0TDYcCmtVFKr9qMBI/5f53795056598b1faac31300900b8671/l52.png,false,14,CM,Center Midfielder,midfielder,Midfielder,53,0,62,0,78,0,89,0,78,0,78,0,58,0,79,0,82,0,70,0,68,0,78,0,79,0,75,0,75,0,68,0,66,0,3,0,5,0,3,0,3,0,5,0,76,0,76,0,83,0,78,0,52,0,78,0,68,0,81,0,76,0,79,0,74,0,82,0,83,0,74,0,52,0,80,0,80,0,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,
231591,640,80,Javier,Galán Gil,Javi Galán,11/19/1994 12:00:00 AM,172,4,2,2,LALIGA EA SPORTS,70,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p231591.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/231591.png?width=265,16,Left Midfielder,LM,trait1_131072,Anticipate,"Improved standing tackle success, possibility of stopping ball at feet",https://drop-assets.ea.com/images/4xPnUcL7thizFB7qmhlwUR/1ade7a0f77d5e875c2db869964540a35/Anticipate.png,playStyle,Play Style,,,,,,,,,,,,,,,,,,,0,Men's Football,45,Spain,https://drop-assets.ea.com/images/Kv8okAYMsDbB3ZKbxrAXw/9d30c88d16a4c85002f35c6af412c6f7/f_45.png,240,Atlético de Madrid,https://drop-assets.ea.com/images/vYcueolPvaGx8blMqhPZ5/5dc3479fc8b85d475fd980c53fc2056f/l240.png,false,7,LB,Left Back,defense,Defense,80,0,75,0,81,0,77,0,66,0,81,0,75,0,79,0,75,0,79,0,72,0,77,0,76,0,79,0,80,0,50,0,70,0,14,0,14,0,10,0,6,0,8,0,74,0,75,0,77,0,56,0,78,0,75,0,48,0,73,0,66,0,78,0,56,0,79,0,72,0,78,0,77,0,79,0,64,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,
