id,rank,overallRating,firstName,lastName,commonName,birthdate,height,skillMoves,weakFootAbility,preferredFoot,leagueName,weight,avatarUrl,shieldUrl,alternatePositions/0/id,alternatePositions/0/label,alternatePositions/0/shortLabel,playerAbilities/0/id,playerAbilities/0/label,playerAbilities/0/description,playerAbilities/0/imageUrl,playerAbilities/0/type/id,playerAbilities/0/type/label,playerAbilities/1/id,playerAbilities/1/label,playerAbilities/1/description,playerAbilities/1/imageUrl,playerAbilities/1/type/id,playerAbilities/1/type/label,gender/id,gender/label,nationality/id,nationality/label,nationality/imageUrl,team/id,team/label,team/imageUrl,team/isPopular,position/id,position/shortLabel,position/label,position/positionType/id,position/positionType/name,stats/acceleration/value,stats/acceleration/diff,stats/agility/value,stats/agility/diff,stats/jumping/value,stats/jumping/diff,stats/stamina/value,stats/stamina/diff,stats/strength/value,stats/strength/diff,stats/aggression/value,stats/aggression/diff,stats/balance/value,stats/balance/diff,stats/ballControl/value,stats/ballControl/diff,stats/composure/value,stats/composure/diff,stats/crossing/value,stats/crossing/diff,stats/curve/value,stats/curve/diff,stats/def/value,stats/def/diff,stats/defensiveAwareness/value,stats/defensiveAwareness/diff,stats/dri/value,stats/dri/diff,stats/dribbling/value,stats/dribbling/diff,stats/finishing/value,stats/finishing/diff,stats/freeKickAccuracy/value,stats/freeKickAccuracy/diff,stats/gkDiving/value,stats/gkDiving/diff,stats/gkHandling/value,stats/gkHandling/diff,stats/gkKicking/value,stats/gkKicking/diff,stats/gkPositioning/value,stats/gkPositioning/diff,stats/gkReflexes/value,stats/gkReflexes/diff,stats/headingAccuracy/value,stats/headingAccuracy/diff,stats/interceptions/value,stats/interceptions/diff,stats/longPassing/value,stats/longPassing/diff,stats/longShots/value,stats/longShots/diff,stats/pac/value,stats/pac/diff,stats/pas/value,stats/pas/diff,stats/penalties/value,stats/penalties/diff,stats/phy/value,stats/phy/diff,stats/positioning/value,stats/positioning/diff,stats/reactions/value,stats/reactions/diff,stats/sho/value,stats/sho/diff,stats/shortPassing/value,stats/shortPassing/diff,stats/shotPower/value,stats/shotPower/diff,stats/slidingTackle/value,stats/slidingTackle/diff,stats/sprintSpeed/value,stats/sprintSpeed/diff,stats/standingTackle/value,stats/standingTackle/diff,stats/vision/value,stats/vision/diff,stats/volleys/value,stats/volleys/diff,playerAbilities/2/id,playerAbilities/2/label,playerAbilities/2/description,playerAbilities/2/imageUrl,playerAbilities/2/type/id,playerAbilities/2/type/label,playerAbilities/3/id,playerAbilities/3/label,playerAbilities/3/description,playerAbilities/3/imageUrl,playerAbilities/3/type/id,playerAbilities/3/type/label,alternatePositions/1/id,alternatePositions/1/label,alternatePositions/1/shortLabel,team,playerAbilities/4/id,playerAbilities/4/label,playerAbilities/4/description,playerAbilities/4/imageUrl,playerAbilities/4/type/id,playerAbilities/4/type/label,playerAbilities/5/id,playerAbilities/5/label,playerAbilities/5/description,playerAbilities/5/imageUrl,playerAbilities/5/type/id,playerAbilities/5/type/label,alternatePositions/0,alternatePositions/2/id,alternatePositions/2/label,alternatePositions/2/shortLabel,playerAbilities/6/id,playerAbilities/6/label,playerAbilities/6/description,playerAbilities/6/imageUrl,playerAbilities/6/type/id,playerAbilities/6/type/label
212091,763,79,Rodinei Marcelo,de Almeida,Rodinei,1/29/1992 12:00:00 AM,177,3,3,1,Hellas Liga,70,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p212091.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/212091.png?width=265,12,Right Midfielder,RM,trait1_2097152,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",https://drop-assets.ea.com/images/1aGsvwKyIFlRG1eoJSS0Ot/a4d3d661ff962795a632fe86439d2146/Rapid.png,playStyle,Play Style,trait1_134217728,Long Throw,Powerful throw-ins for greater distance,https://drop-assets.ea.com/images/51OlohNQvoEwW0aLhknAHh/58fa7d903d10f6d8cfa2622f62ba6b6f/Long_Throw.png,playStyle,Play Style,0,Men's Football,54,Brazil,https://drop-assets.ea.com/images/1zdNn1R9tRlfQ3lsbAOecD/a606f742789b6306363383a6e20dd003/f_54.png,280,Olympiacos FC,https://drop-assets.ea.com/images/2hyiQlv23Ipa7IOEtN7qAv/39a4514bd5a02d0d6db09d8eb2564c8f/l280.png,false,3,RB,Right Back,defense,Defense,80,0,76,0,81,0,84,0,74,0,76,0,77,0,81,0,65,0,81,0,80,0,74,0,75,0,79,0,80,0,67,0,48,0,11,0,7,0,10,0,13,0,11,0,68,0,72,0,69,0,58,0,81,0,73,0,75,0,77,0,75,0,77,0,66,0,77,0,67,0,73,0,82,0,75,0,65,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248165,764,79,Andrei,Rațiu,,6/20/1998 12:00:00 AM,183,3,3,1,LALIGA EA SPORTS,79,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p248165.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/248165.png?width=265,12,Right Midfielder,RM,trait1_32768,Block,Increased reach and success in blocking,https://drop-assets.ea.com/images/2Rlftzr8lqUdI29suCQVWe/43c6c36e8bd5fa26b88478d4354611a2/Block.png,playStyle,Play Style,trait1_2097152,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",https://drop-assets.ea.com/images/1aGsvwKyIFlRG1eoJSS0Ot/a4d3d661ff962795a632fe86439d2146/Rapid.png,playStyle,Play Style,0,Men's Football,39,Romania,https://drop-assets.ea.com/images/yJG6VRw2DHBpS1YBUe6XM/8251edf43104234bc25ece0a960006de/f_39.png,480,Rayo Vallecano,https://drop-assets.ea.com/images/3SSzCmmavBBvrdJVySdnrm/f51360f07320e2dba9520037d3789543/l480.png,false,3,RB,Right Back,defense,Defense,93,0,81,0,85,0,80,0,65,0,69,0,64,0,79,0,69,0,79,0,75,0,74,0,75,0,79,0,82,0,56,0,45,0,9,0,11,0,12,0,11,0,12,0,75,0,72,0,66,0,63,0,92,0,74,0,36,0,71,0,75,0,72,0,60,0,77,0,66,0,70,0,92,0,74,0,75,0,59,0,trait1_33554432,Quick Step,Faster acceleration during Explosive Sprint,https://drop-assets.ea.com/images/1xG25Zp3wvkLA5YewKiZah/f27f5fabd1e899fc0bbb817d2db233b1/Quick_Step.png,playStyle,Play Style,trait1_134217728,Long Throw,Powerful throw-ins for greater distance,https://drop-assets.ea.com/images/51OlohNQvoEwW0aLhknAHh/58fa7d903d10f6d8cfa2622f62ba6b6f/Long_Throw.png,playStyle,Play Style,,,,,,,,,,,,,,,,,,,,,,,,,,
206511,766,79,Maximilian,Arnold,,5/27/1994 12:00:00 AM,184,3,2,2,Bundesliga,74,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p206511.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/206511.png?width=265,14,Center Midfielder,CM,trait1_8,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",https://drop-assets.ea.com/images/1razu2wcM3XA82VvB7NyUm/eec6b07080e49d6bf2d7a7951a22375f/Dead_Ball.png,playStyle,Play Style,trait1_128,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,https://drop-assets.ea.com/images/2v8I0GQrtREaEJzJcyStKe/e46d719e4e5ed88ac5a1f671c7448f4a/Gamechanger.png,playStyle,Play Style,0,Men's Football,21,Germany,https://drop-assets.ea.com/images/6IIMMGk0Uj1rcZ6DSHTpLL/93f95b602dc62594104f418c8f80ebb3/f_21.png,175,VfL Wolfsburg,https://drop-assets.ea.com/images/4mw5u30yjPmzh9OVqKB0YV/ad59c24a84c9afb0a877046fadeb9c9e/l175.png,false,10,CDM,Center Defensive Midfielder,midfielder,Midfielder,63,0,69,0,70,0,78,0,74,0,77,0,64,0,79,0,79,0,69,0,84,0,75,0,78,0,76,0,76,0,74,0,84,0,11,0,9,0,11,0,10,0,10,0,58,0,77,0,83,0,87,0,64,0,79,0,54,0,75,0,75,0,81,0,80,0,82,0,91,0,72,0,64,0,76,0,78,0,84,0,trait1_1024,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",https://drop-assets.ea.com/images/7jwRDD4zkOsqRpc821t73d/16d46d57a5dfc7dd5dd5f8de0fd26a99/Long_Ball_Pass.png,playStyle,Play Style,icontrait1_4,Power Shot+,Much faster power shots with significant speed increase,https://drop-assets.ea.com/images/3SLCWnaVMQFNLdRmNpUyyP/545111e2c601b507f79588f950b2848f/Power_Shot_.png,playStylePlus,Play Style Plus,,,,,,,,,,,,,,,,,,,,,,,,,,
251804,767,79,Sergiño,Dest,,11/3/2000 12:00:00 AM,173,4,4,1,Eredivisie,68,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p251804.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/251804.png?width=265,7,Left Back,LB,trait1_8192,Inventive,Fancy and Trivela passes are performed with improved accuracy.,https://drop-assets.ea.com/images/4fpo31RdL5T0vrzNqcSc4x/f82209bfd51270dcc447d4313b3e61f1/Inventive.png,playStyle,Play Style,trait1_1048576,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png,playStyle,Play Style,0,Men's Football,95,United States,https://drop-assets.ea.com/images/7ZVadlJQIutRH5P85wr76/c2456a2d76146d19f98c2c3071136dcf/f_95.png,,,,,3,RB,Right Back,defense,Defense,89,0,89,0,78,0,76,0,68,0,73,0,88,0,82,0,75,0,76,0,74,0,72,0,72,0,83,0,84,0,60,0,43,0,11,0,10,0,10,0,15,0,15,0,59,0,73,0,71,0,62,0,87,0,75,0,39,0,72,0,73,0,77,0,60,0,80,0,65,0,75,0,86,0,76,0,76,0,46,0,trait1_33554432,Quick Step,Faster acceleration during Explosive Sprint,https://drop-assets.ea.com/images/1xG25Zp3wvkLA5YewKiZah/f27f5fabd1e899fc0bbb817d2db233b1/Quick_Step.png,playStyle,Play Style,trait1_67108864,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",https://drop-assets.ea.com/images/2vVuRxgvPNaAuFGqZZ9nDY/3e2505addd5a6b353becdeaf7173d187/Relentless.png,playStyle,Play Style,12,Right Midfielder,RM,,,,,,,,,,,,,,,,,,,,,,,
258966,768,79,Andrea,Cambiaso,,2/20/2000 12:00:00 AM,182,3,5,2,Serie A Enilive,77,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p258966.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/258966.png?width=265,3,Right Back,RB,trait1_16384,Jockey,"Faster Sprint Jockey, better transition speed",https://drop-assets.ea.com/images/7lHjpOBSghE6Ywt1jgVv1C/21f9914d00f073d79d4b46cac71b9087/Jockey.png,playStyle,Play Style,trait1_131072,Anticipate,"Improved standing tackle success, possibility of stopping ball at feet",https://drop-assets.ea.com/images/4xPnUcL7thizFB7qmhlwUR/1ade7a0f77d5e875c2db869964540a35/Anticipate.png,playStyle,Play Style,0,Men's Football,27,Italy,https://drop-assets.ea.com/images/2WtjWPqYzT7xcMCbvajGZH/d06e9ec4734a0d43d88f65386cc3a484/f_27.png,45,Juventus,https://drop-assets.ea.com/images/6zWQmPATtK8lpsiXbKb3mY/6b2d1dab08ef14f63271a5cd70a0db0d/l45.png,true,7,LB,Left Back,defense,Defense,79,0,78,0,75,0,76,0,66,0,71,0,71,0,80,0,78,0,79,0,76,0,75,0,76,0,79,0,80,0,68,0,60,0,13,0,7,0,7,0,13,0,13,0,62,0,74,0,75,0,75,0,78,0,77,0,46,0,70,0,78,0,78,0,70,0,79,0,75,0,76,0,78,0,79,0,79,0,72,0,trait1_67108864,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",https://drop-assets.ea.com/images/2vVuRxgvPNaAuFGqZZ9nDY/3e2505addd5a6b353becdeaf7173d187/Relentless.png,playStyle,Play Style,,,,,,,16,Left Midfielder,LM,,,,,,,,,,,,,,,,,,,,,,,
216150,770,79,Davide,Zappacosta,,6/11/1992 12:00:00 AM,182,3,3,1,Serie A Enilive,75,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p216150.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/216150.png?width=265,12,Right Midfielder,RM,trait1_4096,Whipped Pass,"Accurate, faster crosses with more curve",https://drop-assets.ea.com/images/FfTP29PWrRWZjEaiCCVoa/a1b345e4ae7023ed78b1efd68d28f392/Whipped_Pass.png,playStyle,Play Style,,,,,,,0,Men's Football,27,Italy,https://drop-assets.ea.com/images/2WtjWPqYzT7xcMCbvajGZH/d06e9ec4734a0d43d88f65386cc3a484/f_27.png,115845,Bergamo Calcio,https://drop-assets.ea.com/images/19gWEcyonp2fvk02MNHZOA/83b82283fc62f7010b529a53a0724eee/l115845.png,false,16,LM,Left Midfielder,midfielder,Midfielder,78,0,71,0,75,0,80,0,61,0,75,0,69,0,78,0,74,0,84,0,78,0,76,0,75,0,77,0,79,0,71,0,59,0,11,0,9,0,8,0,6,0,11,0,69,0,77,0,75,0,75,0,76,0,77,0,59,0,69,0,79,0,76,0,73,0,79,0,79,0,78,0,74,0,78,0,70,0,69,0,,,,,,,,,,,,,27,Left Wing,LW,,,,,,,,,,,,,,,,,,,,,,,
224196,772,79,Ramy,Bensebaini,,4/16/1995 12:00:00 AM,187,3,4,2,Bundesliga,82,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p224196.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/224196.png?width=265,5,Center Back,CB,trait1_2,Chip Shot,"Faster, more accurate chip shots",https://drop-assets.ea.com/images/6Gl08kt7odn1fJNX74CS2P/984feac3cd8d99902f5cb5131d5fd26a/Chip_Shot.png,playStyle,Play Style,trait1_268435456,Bruiser,Stronger physical tackles,https://drop-assets.ea.com/images/7euMJ2jVypFrFPQesWuGGm/14019168b12faac1584a2920d5c2d5d9/Bruiser.png,playStyle,Play Style,0,Men's Football,97,Algeria,https://drop-assets.ea.com/images/7DBnvM9EEo73oK7xEvbWvJ/47a0a190f5a0092fef1bc40e7e74b8f9/f_97.png,22,Borussia Dortmund,https://drop-assets.ea.com/images/TmqxUZk2FrbFXOK1kdE89/3dce225926ac7cfd9f283ecd731fa710/l22.png,false,7,LB,Left Back,defense,Defense,72,0,67,0,88,0,77,0,78,0,82,0,67,0,82,0,74,0,73,0,67,0,78,0,73,0,77,0,78,0,72,0,62,0,6,0,13,0,14,0,7,0,14,0,82,0,74,0,68,0,65,0,73,0,70,0,85,0,79,0,66,0,75,0,70,0,76,0,70,0,87,0,73,0,80,0,63,0,57,0,icontrait1_262144,Slide Tackle+,"Greatly improved slide tackle coverage, stops ball at feet",https://drop-assets.ea.com/images/oMoLHfawtU6s08cupTpup/4c19ef50d267273c4495deb32a06c9eb/Slide_Tackle_.png,playStylePlus,Play Style Plus,,,,,,,16,Left Midfielder,LM,,,,,,,,,,,,,,,,,,,,,,,
235152,773,79,Ferdi,Kadıoğlu,,10/7/1999 12:00:00 AM,174,3,4,1,Premier League,68,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p235152.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/235152.png?width=265,7,Left Back,LB,trait1_4096,Whipped Pass,"Accurate, faster crosses with more curve",https://drop-assets.ea.com/images/FfTP29PWrRWZjEaiCCVoa/a1b345e4ae7023ed78b1efd68d28f392/Whipped_Pass.png,playStyle,Play Style,trait1_16384,Jockey,"Faster Sprint Jockey, better transition speed",https://drop-assets.ea.com/images/7lHjpOBSghE6Ywt1jgVv1C/21f9914d00f073d79d4b46cac71b9087/Jockey.png,playStyle,Play Style,0,Men's Football,48,Turkey,https://drop-assets.ea.com/images/501PnaP87pzjR8dKEQ20OT/7f0fd5c896b732a094222cbf0560b4c2/f_48.png,1808,Brighton,https://drop-assets.ea.com/images/1mFLMjuFkxQjbRaTLKZ8Gm/277b9eb6d29d37064d1d82063b06f681/l1808.png,false,3,RB,Right Back,defense,Defense,88,0,89,0,71,0,79,0,62,0,62,0,86,0,78,0,73,0,75,0,73,0,76,0,77,0,80,0,79,0,65,0,63,0,10,0,13,0,11,0,11,0,5,0,66,0,75,0,70,0,72,0,82,0,74,0,52,0,67,0,73,0,75,0,68,0,78,0,73,0,77,0,77,0,77,0,73,0,63,0,trait1_2097152,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",https://drop-assets.ea.com/images/1aGsvwKyIFlRG1eoJSS0Ot/a4d3d661ff962795a632fe86439d2146/Rapid.png,playStyle,Play Style,trait1_4194304,First Touch,"Reduced trapping error, faster dribbling transition",https://drop-assets.ea.com/images/3f727XsoDVLbT49oMk0HBu/2787568be8ccb2d5daa2d18fabacad97/First_Touch.png,playStyle,Play Style,12,Right Midfielder,RM,,trait1_33554432,Quick Step,Faster acceleration during Explosive Sprint,https://drop-assets.ea.com/images/1xG25Zp3wvkLA5YewKiZah/f27f5fabd1e899fc0bbb817d2db233b1/Quick_Step.png,playStyle,Play Style,trait1_67108864,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",https://drop-assets.ea.com/images/2vVuRxgvPNaAuFGqZZ9nDY/3e2505addd5a6b353becdeaf7173d187/Relentless.png,playStyle,Play Style,,,,,,,,,,
242087,774,79,Hidemasa,Morita,,5/10/1995 12:00:00 AM,177,3,5,1,Liga Portugal,76,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p242087.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/242087.png?width=265,10,Center Defensive Midfielder,CDM,trait1_256,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",https://drop-assets.ea.com/images/2K5BYfVYRnrdjt8F3hwI04/62f147b6a436c107bfa3d042c1d5728d/Incisive_Pass.png,playStyle,Play Style,trait1_131072,Anticipate,"Improved standing tackle success, possibility of stopping ball at feet",https://drop-assets.ea.com/images/4xPnUcL7thizFB7qmhlwUR/1ade7a0f77d5e875c2db869964540a35/Anticipate.png,playStyle,Play Style,0,Men's Football,163,Japan,https://drop-assets.ea.com/images/1aoxCwnRS4A6LGlyhrUllt/b5b0cd61a299b9996821c16cc324cc3b/f_163.png,237,Sporting CP,https://drop-assets.ea.com/images/2bL9oGApMvbYE1o0Byl8KB/c914cde8141f11124f026cb198a0eb00/l237.png,false,14,CM,Center Midfielder,midfielder,Midfielder,67,0,75,0,68,0,83,0,77,0,76,0,73,0,81,0,79,0,70,0,72,0,73,0,75,0,79,0,80,0,75,0,57,0,6,0,10,0,13,0,7,0,8,0,47,0,78,0,80,0,74,0,68,0,76,0,52,0,78,0,78,0,79,0,72,0,80,0,72,0,74,0,68,0,76,0,79,0,54,0,trait1_524288,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,https://drop-assets.ea.com/images/3rsDbUXd3MZX39YTsk6lKe/404db89f2237eeb7466668a730c52a4b/Aerial_Fortress.png,playStyle,Play Style,trait1_16777216,Press Proven,"Close control at jog speed, shields ball more effectively",https://drop-assets.ea.com/images/5rUHwyLJRnvGV53Ba4Pj6M/9a3238695ae8103667ba02af391ac209/Press_Proven.png,playStyle,Play Style,,,,,trait1_67108864,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",https://drop-assets.ea.com/images/2vVuRxgvPNaAuFGqZZ9nDY/3e2505addd5a6b353becdeaf7173d187/Relentless.png,playStyle,Play Style,trait1_268435456,Bruiser,Stronger physical tackles,https://drop-assets.ea.com/images/7euMJ2jVypFrFPQesWuGGm/14019168b12faac1584a2920d5c2d5d9/Bruiser.png,playStyle,Play Style,,,,,,,,,,
253072,775,79,Darwin,Núñez,,6/24/1999 12:00:00 AM,187,3,3,1,ROSHN Saudi League,81,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p253072.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/253072.png?width=265,,,,trait1_2097152,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",https://drop-assets.ea.com/images/1aGsvwKyIFlRG1eoJSS0Ot/a4d3d661ff962795a632fe86439d2146/Rapid.png,playStyle,Play Style,trait1_33554432,Quick Step,Faster acceleration during Explosive Sprint,https://drop-assets.ea.com/images/1xG25Zp3wvkLA5YewKiZah/f27f5fabd1e899fc0bbb817d2db233b1/Quick_Step.png,playStyle,Play Style,0,Men's Football,60,Uruguay,https://drop-assets.ea.com/images/GRwJwZ17RfDveZX4N4L78/25beda9babb2d93a8ff7bb5487eb263b/f_60.png,605,Al Hilal,https://drop-assets.ea.com/images/S6sbDN9mfGaVn2VJDekYR/c6f580c98a0d614b0b308a89a241c6ab/l605.png,false,25,ST,Striker,attack,Attack,86,0,68,0,93,0,79,0,81,0,84,0,66,0,77,0,76,0,69,0,75,0,49,0,42,0,76,0,78,0,77,0,61,0,14,0,10,0,12,0,10,0,13,0,77,0,45,0,68,0,75,0,88,0,72,0,78,0,82,0,81,0,74,0,79,0,74,0,87,0,39,0,89,0,52,0,78,0,74,0,trait1_67108864,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",https://drop-assets.ea.com/images/2vVuRxgvPNaAuFGqZZ9nDY/3e2505addd5a6b353becdeaf7173d187/Relentless.png,playStyle,Play Style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
