id,rank,overallRating,firstName,lastName,commonName,birthdate,height,skillMoves,weakFootAbility,preferredFoot,leagueName,weight,avatarUrl,shieldUrl,alternatePositions/0/id,alternatePositions/0/label,alternatePositions/0/shortLabel,playerAbilities/0/id,playerAbilities/0/label,playerAbilities/0/description,playerAbilities/0/imageUrl,playerAbilities/0/type/id,playerAbilities/0/type/label,playerAbilities/1/id,playerAbilities/1/label,playerAbilities/1/description,playerAbilities/1/imageUrl,playerAbilities/1/type/id,playerAbilities/1/type/label,gender/id,gender/label,nationality/id,nationality/label,nationality/imageUrl,team/id,team/label,team/imageUrl,team/isPopular,position/id,position/shortLabel,position/label,position/positionType/id,position/positionType/name,stats/acceleration/value,stats/acceleration/diff,stats/agility/value,stats/agility/diff,stats/jumping/value,stats/jumping/diff,stats/stamina/value,stats/stamina/diff,stats/strength/value,stats/strength/diff,stats/aggression/value,stats/aggression/diff,stats/balance/value,stats/balance/diff,stats/ballControl/value,stats/ballControl/diff,stats/composure/value,stats/composure/diff,stats/crossing/value,stats/crossing/diff,stats/curve/value,stats/curve/diff,stats/def/value,stats/def/diff,stats/defensiveAwareness/value,stats/defensiveAwareness/diff,stats/dri/value,stats/dri/diff,stats/dribbling/value,stats/dribbling/diff,stats/finishing/value,stats/finishing/diff,stats/freeKickAccuracy/value,stats/freeKickAccuracy/diff,stats/gkDiving/value,stats/gkDiving/diff,stats/gkHandling/value,stats/gkHandling/diff,stats/gkKicking/value,stats/gkKicking/diff,stats/gkPositioning/value,stats/gkPositioning/diff,stats/gkReflexes/value,stats/gkReflexes/diff,stats/headingAccuracy/value,stats/headingAccuracy/diff,stats/interceptions/value,stats/interceptions/diff,stats/longPassing/value,stats/longPassing/diff,stats/longShots/value,stats/longShots/diff,stats/pac/value,stats/pac/diff,stats/pas/value,stats/pas/diff,stats/penalties/value,stats/penalties/diff,stats/phy/value,stats/phy/diff,stats/positioning/value,stats/positioning/diff,stats/reactions/value,stats/reactions/diff,stats/sho/value,stats/sho/diff,stats/shortPassing/value,stats/shortPassing/diff,stats/shotPower/value,stats/shotPower/diff,stats/slidingTackle/value,stats/slidingTackle/diff,stats/sprintSpeed/value,stats/sprintSpeed/diff,stats/standingTackle/value,stats/standingTackle/diff,stats/vision/value,stats/vision/diff,stats/volleys/value,stats/volleys/diff,alternatePositions/1/id,alternatePositions/1/label,alternatePositions/1/shortLabel,alternatePositions/2/id,alternatePositions/2/label,alternatePositions/2/shortLabel,playerAbilities/2/id,playerAbilities/2/label,playerAbilities/2/description,playerAbilities/2/imageUrl,playerAbilities/2/type/id,playerAbilities/2/type/label,playerAbilities/3/id,playerAbilities/3/label,playerAbilities/3/description,playerAbilities/3/imageUrl,playerAbilities/3/type/id,playerAbilities/3/type/label,alternatePositions/0,team,playerAbilities/4/id,playerAbilities/4/label,playerAbilities/4/description,playerAbilities/4/imageUrl,playerAbilities/4/type/id,playerAbilities/4/type/label,playerAbilities/5/id,playerAbilities/5/label,playerAbilities/5/description,playerAbilities/5/imageUrl,playerAbilities/5/type/id,playerAbilities/5/type/label,playerAbilities/6/id,playerAbilities/6/label,playerAbilities/6/description,playerAbilities/6/imageUrl,playerAbilities/6/type/id,playerAbilities/6/type/label
223671,896,79,Stefan,Posch,,5/14/1997 12:00:00 AM,190,2,3,1,Serie A Enilive,82,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p223671.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/223671.png?width=265,12,Right Midfielder,RM,trait1_131072,Anticipate,"Improved standing tackle success, possibility of stopping ball at feet",https://drop-assets.ea.com/images/4xPnUcL7thizFB7qmhlwUR/1ade7a0f77d5e875c2db869964540a35/Anticipate.png,playStyle,Play Style,trait1_268435456,Bruiser,Stronger physical tackles,https://drop-assets.ea.com/images/7euMJ2jVypFrFPQesWuGGm/14019168b12faac1584a2920d5c2d5d9/Bruiser.png,playStyle,Play Style,0,Men's Football,4,Austria,https://drop-assets.ea.com/images/2nTz63NpDfuBGFbmXrDg0N/eaa6fc81bfd7bd77d76886d479841ebb/f_4.png,1745,Como,https://drop-assets.ea.com/images/3y8mulzaICjwfi7inFVld2/ec9c71566982f8df59f26e81745143ec/l1745.png,false,3,RB,Right Back,defense,Defense,71,0,36,0,85,0,70,0,75,0,73,0,60,0,75,0,70,0,73,0,65,0,80,0,79,0,66,0,65,0,52,0,45,0,6,0,8,0,7,0,6,0,8,0,80,0,78,0,70,0,54,0,75,0,68,0,38,0,74,0,71,0,76,0,55,0,74,0,63,0,78,0,78,0,82,0,55,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254117,898,79,Maximilian,Beier,,10/17/2002 12:00:00 AM,185,4,3,1,Bundesliga,72,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p254117.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/254117.png?width=265,12,Right Midfielder,RM,trait1_1,Finesse Shot,Faster finesse shots with more curve and accuracy,https://drop-assets.ea.com/images/468u1R1p2k1fA6WBHi0OEn/fb9d49ed2a8fb500cd5a184937b96b34/Finesse_Shot.png,playStyle,Play Style,trait1_128,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,https://drop-assets.ea.com/images/2v8I0GQrtREaEJzJcyStKe/e46d719e4e5ed88ac5a1f671c7448f4a/Gamechanger.png,playStyle,Play Style,0,Men's Football,21,Germany,https://drop-assets.ea.com/images/6IIMMGk0Uj1rcZ6DSHTpLL/93f95b602dc62594104f418c8f80ebb3/f_21.png,22,Borussia Dortmund,https://drop-assets.ea.com/images/TmqxUZk2FrbFXOK1kdE89/3dce225926ac7cfd9f283ecd731fa710/l22.png,false,25,ST,Striker,attack,Attack,86,0,82,0,77,0,82,0,53,0,54,0,77,0,82,0,73,0,67,0,74,0,43,0,45,0,80,0,80,0,82,0,51,0,6,0,8,0,8,0,6,0,13,0,72,0,43,0,60,0,76,0,86,0,68,0,65,0,62,0,82,0,79,0,79,0,74,0,80,0,21,0,86,0,39,0,68,0,75,0,16,Left Midfielder,LM,23,Right Wing,RW,trait1_2097152,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",https://drop-assets.ea.com/images/1aGsvwKyIFlRG1eoJSS0Ot/a4d3d661ff962795a632fe86439d2146/Rapid.png,playStyle,Play Style,trait1_33554432,Quick Step,Faster acceleration during Explosive Sprint,https://drop-assets.ea.com/images/1xG25Zp3wvkLA5YewKiZah/f27f5fabd1e899fc0bbb817d2db233b1/Quick_Step.png,playStyle,Play Style,,,,,,,,,,,,,,,,,,,,
258575,899,79,Emmanuel,Agbadou,,6/17/1997 12:00:00 AM,192,2,3,1,Premier League,86,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p258575.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/258575.png?width=265,,,,trait1_16,Precision Header,Performs headers with increased accuracy and power.,https://drop-assets.ea.com/images/3ync8fbblS4zLzF3p1VXmT/7752a5103c2ebd8be5cf1819379c66f4/Precision_Header.png,playStyle,Play Style,trait1_16384,Jockey,"Faster Sprint Jockey, better transition speed",https://drop-assets.ea.com/images/7lHjpOBSghE6Ywt1jgVv1C/21f9914d00f073d79d4b46cac71b9087/Jockey.png,playStyle,Play Style,0,Men's Football,108,Côte d'Ivoire,https://drop-assets.ea.com/images/6WOgIUFG0fMJWcKjih5i3K/8d09758d91059b879a2e5521f8d7e616/f_108.png,110,Wolves,https://drop-assets.ea.com/images/3DIKyPF6XcAgIrI3Wv0UBo/4b26ac5525105f84de13860ebe177633/l110.png,false,5,CB,Center Back,defense,Defense,69,0,51,0,89,0,68,0,90,0,84,0,40,0,66,0,78,0,48,0,49,0,78,0,79,0,66,0,69,0,51,0,30,0,9,0,7,0,12,0,9,0,14,0,78,0,77,0,77,0,33,0,80,0,63,0,46,0,83,0,55,0,79,0,48,0,73,0,61,0,76,0,89,0,79,0,63,0,28,0,,,,,,,trait1_32768,Block,Increased reach and success in blocking,https://drop-assets.ea.com/images/2Rlftzr8lqUdI29suCQVWe/43c6c36e8bd5fa26b88478d4354611a2/Block.png,playStyle,Play Style,trait1_268435456,Bruiser,Stronger physical tackles,https://drop-assets.ea.com/images/7euMJ2jVypFrFPQesWuGGm/14019168b12faac1584a2920d5c2d5d9/Bruiser.png,playStyle,Play Style,,,,,,,,,,,,,,,,,,,,
229906,901,79,Leon,Bailey,,8/9/1997 12:00:00 AM,178,4,2,2,Serie A Enilive,77,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p229906.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/229906.png?width=265,23,Right Wing,RW,trait1_33554432,Quick Step,Faster acceleration during Explosive Sprint,https://drop-assets.ea.com/images/1xG25Zp3wvkLA5YewKiZah/f27f5fabd1e899fc0bbb817d2db233b1/Quick_Step.png,playStyle,Play Style,,,,,,,0,Men's Football,82,Jamaica,https://drop-assets.ea.com/images/7uTxlyxwozutfPtiDq58XA/34184ec288fead4c03b628acf2f83eb8/f_82.png,52,AS Roma,https://drop-assets.ea.com/images/2ruQP0TDYcCmtVFKr9qMBI/5f53795056598b1faac31300900b8671/l52.png,false,12,RM,Right Midfielder,midfielder,Midfielder,91,0,91,0,75,0,64,0,61,0,55,0,88,0,81,0,73,0,75,0,76,0,38,0,45,0,84,0,85,0,76,0,72,0,12,0,13,0,6,0,15,0,14,0,57,0,28,0,65,0,74,0,87,0,73,0,71,0,61,0,76,0,77,0,74,0,75,0,72,0,29,0,84,0,34,0,75,0,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244369,902,79,Viktor,Tsygankov,,11/15/1997 12:00:00 AM,178,4,4,2,LALIGA EA SPORTS,73,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p244369.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/244369.png?width=265,23,Right Wing,RW,trait1_1048576,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png,playStyle,Play Style,trait1_33554432,Quick Step,Faster acceleration during Explosive Sprint,https://drop-assets.ea.com/images/1xG25Zp3wvkLA5YewKiZah/f27f5fabd1e899fc0bbb817d2db233b1/Quick_Step.png,playStyle,Play Style,0,Men's Football,49,Ukraine,https://drop-assets.ea.com/images/6qDmsmOUdD4va3zMohbKhb/0074f5347b6d5908bf7c36de17f1e512/f_49.png,110062,Girona FC,https://drop-assets.ea.com/images/40lM20ITshJSKsZtWMGQ8m/3f11cea65b14635cc29654b6ba13c0b6/l110062.png,false,12,RM,Right Midfielder,midfielder,Midfielder,82,0,81,0,62,0,75,0,52,0,63,0,72,0,79,0,75,0,80,0,79,0,43,0,48,0,78,0,78,0,74,0,74,0,9,0,7,0,15,0,6,0,12,0,45,0,43,0,76,0,76,0,82,0,79,0,81,0,60,0,75,0,76,0,75,0,80,0,77,0,37,0,82,0,39,0,78,0,72,0,18,Center Attacking Midfielder,CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261188,903,79,Iliman,Ndiaye,,3/6/2000 12:00:00 AM,180,4,4,1,Premier League,70,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p261188.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/261188.png?width=265,27,Left Wing,LW,trait1_1048576,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png,playStyle,Play Style,,,,,,,0,Men's Football,136,Senegal,https://drop-assets.ea.com/images/5YFW1KnsSwDBZwtoXH9mTj/690bf685246b53efaf24d6f2de696eb3/f_136.png,7,Everton,https://drop-assets.ea.com/images/6Cth6wtCt1i37ZjPMZKIm3/4c68def58bf71a34afa1870cad4d5cfe/l7.png,false,16,LM,Left Midfielder,midfielder,Midfielder,83,0,84,0,75,0,71,0,65,0,47,0,77,0,83,0,82,0,70,0,68,0,40,0,44,0,84,0,86,0,78,0,55,0,7,0,9,0,7,0,15,0,8,0,59,0,49,0,58,0,70,0,84,0,70,0,80,0,63,0,79,0,79,0,76,0,75,0,76,0,26,0,85,0,28,0,74,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226166,906,79,Nordi,Mukiele,,11/1/1997 12:00:00 AM,187,3,3,1,Premier League,84,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p226166.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/226166.png?width=265,5,Center Back,CB,trait1_262144,Slide Tackle,Stops ball at feet during slide tackles,https://drop-assets.ea.com/images/7mI1lrxE0pv9iJfQFki9OA/8c1ecac325f923e049be72231c8c968a/Slide_Tackle.png,playStyle,Play Style,,,,,,,0,Men's Football,18,France,https://drop-assets.ea.com/images/3ECAQzhfgSLWRf9IIHB6G8/7e235a7b2f93c1f73db7f89dc03b3657/f_18.png,106,Sunderland,https://drop-assets.ea.com/images/6ja62Iw2LyY8cVrud4aSHi/aa6c15e4a2ceed66f92099108bea9dfa/l106.png,false,3,RB,Right Back,defense,Defense,76,0,65,0,78,0,68,0,79,0,83,0,65,0,74,0,71,0,71,0,68,0,80,0,80,0,71,0,70,0,40,0,33,0,10,0,7,0,14,0,11,0,15,0,73,0,81,0,69,0,52,0,72,0,67,0,45,0,77,0,60,0,76,0,49,0,71,0,67,0,85,0,69,0,81,0,64,0,39,0,12,Right Midfielder,RM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230918,907,79,Trevoh,Chalobah,,7/5/1999 12:00:00 AM,192,3,3,1,Premier League,75,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p230918.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/230918.png?width=265,3,Right Back,RB,trait1_65536,Intercept,Increased reach and possession retention in interceptions,https://drop-assets.ea.com/images/5ysv7Iw8jDHl7sp1JXqIa7/d34004fed8c95bde083dcf8257391a70/Intercept.png,playStyle,Play Style,trait1_262144,Slide Tackle,Stops ball at feet during slide tackles,https://drop-assets.ea.com/images/7mI1lrxE0pv9iJfQFki9OA/8c1ecac325f923e049be72231c8c968a/Slide_Tackle.png,playStyle,Play Style,0,Men's Football,14,England,https://drop-assets.ea.com/images/6ZM1OFXGUFeV0ZaYVKj2z/ae88ef17f8cb179fbc1c463f7e1e4bd8/f_14.png,5,Chelsea,https://drop-assets.ea.com/images/6T0vfhzb3y9R6YVtmVwYcD/b99723a87536e30979c7cbdb8bba9310/l5.png,false,5,CB,Center Back,defense,Defense,64,0,52,0,84,0,67,0,83,0,76,0,60,0,74,0,78,0,62,0,65,0,80,0,80,0,70,0,70,0,46,0,44,0,5,0,5,0,9,0,9,0,7,0,77,0,81,0,75,0,62,0,66,0,69,0,45,0,78,0,50,0,78,0,53,0,77,0,65,0,78,0,68,0,80,0,67,0,47,0,12,Right Midfielder,RM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252042,908,79,João Pedro,Junqueira de Jesus,João Pedro,9/26/2001 12:00:00 AM,188,4,4,1,Premier League,82,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p252042.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/252042.png?width=265,18,Center Attacking Midfielder,CAM,trait1_2097152,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",https://drop-assets.ea.com/images/1aGsvwKyIFlRG1eoJSS0Ot/a4d3d661ff962795a632fe86439d2146/Rapid.png,playStyle,Play Style,,,,,,,0,Men's Football,54,Brazil,https://drop-assets.ea.com/images/1zdNn1R9tRlfQ3lsbAOecD/a606f742789b6306363383a6e20dd003/f_54.png,5,Chelsea,https://drop-assets.ea.com/images/6T0vfhzb3y9R6YVtmVwYcD/b99723a87536e30979c7cbdb8bba9310/l5.png,false,25,ST,Striker,attack,Attack,79,0,76,0,84,0,75,0,70,0,61,0,77,0,81,0,78,0,66,0,73,0,37,0,39,0,81,0,83,0,79,0,54,0,7,0,6,0,10,0,8,0,14,0,77,0,38,0,69,0,71,0,78,0,72,0,86,0,70,0,80,0,79,0,78,0,78,0,80,0,23,0,77,0,27,0,75,0,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188350,911,79,Marco,Reus,,5/31/1989 12:00:00 AM,180,4,4,1,MLS,71,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p188350.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/188350.png?width=265,25,Striker,ST,trait1_1,Finesse Shot,Faster finesse shots with more curve and accuracy,https://drop-assets.ea.com/images/468u1R1p2k1fA6WBHi0OEn/fb9d49ed2a8fb500cd5a184937b96b34/Finesse_Shot.png,playStyle,Play Style,trait1_2,Chip Shot,"Faster, more accurate chip shots",https://drop-assets.ea.com/images/6Gl08kt7odn1fJNX74CS2P/984feac3cd8d99902f5cb5131d5fd26a/Chip_Shot.png,playStyle,Play Style,0,Men's Football,21,Germany,https://drop-assets.ea.com/images/6IIMMGk0Uj1rcZ6DSHTpLL/93f95b602dc62594104f418c8f80ebb3/f_21.png,697,LA Galaxy,https://drop-assets.ea.com/images/eGVllmGrNtxd7wDWFgngP/a1d4ff6c7bbfaaefe0b5ab8c641af314/l697.png,false,18,CAM,Center Attacking Midfielder,midfielder,Midfielder,62,0,76,0,59,0,66,0,66,0,48,0,81,0,82,0,78,0,81,0,86,0,52,0,55,0,80,0,80,0,81,0,84,0,12,0,12,0,13,0,13,0,11,0,44,0,55,0,76,0,80,0,58,0,81,0,81,0,62,0,80,0,81,0,81,0,83,0,82,0,59,0,54,0,47,0,81,0,79,0,14,Center Midfielder,CM,,,,trait1_128,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,https://drop-assets.ea.com/images/2v8I0GQrtREaEJzJcyStKe/e46d719e4e5ed88ac5a1f671c7448f4a/Gamechanger.png,playStyle,Play Style,trait1_4194304,First Touch,"Reduced trapping error, faster dribbling transition",https://drop-assets.ea.com/images/3f727XsoDVLbT49oMk0HBu/2787568be8ccb2d5daa2d18fabacad97/First_Touch.png,playStyle,Play Style,,,,,,,,,,,,,,,,,,,,
