id,rank,overallRating,firstName,lastName,commonName,birthdate,height,skillMoves,weakFootAbility,preferredFoot,leagueName,weight,avatarUrl,shieldUrl,alternatePositions/0/id,alternatePositions/0/label,alternatePositions/0/shortLabel,alternatePositions/1/id,alternatePositions/1/label,alternatePositions/1/shortLabel,playerAbilities/0/id,playerAbilities/0/label,playerAbilities/0/description,playerAbilities/0/imageUrl,playerAbilities/0/type/id,playerAbilities/0/type/label,playerAbilities/1/id,playerAbilities/1/label,playerAbilities/1/description,playerAbilities/1/imageUrl,playerAbilities/1/type/id,playerAbilities/1/type/label,playerAbilities/2/id,playerAbilities/2/label,playerAbilities/2/description,playerAbilities/2/imageUrl,playerAbilities/2/type/id,playerAbilities/2/type/label,playerAbilities/3/id,playerAbilities/3/label,playerAbilities/3/description,playerAbilities/3/imageUrl,playerAbilities/3/type/id,playerAbilities/3/type/label,gender/id,gender/label,nationality/id,nationality/label,nationality/imageUrl,team/id,team/label,team/imageUrl,team/isPopular,position/id,position/shortLabel,position/label,position/positionType/id,position/positionType/name,stats/acceleration/value,stats/acceleration/diff,stats/agility/value,stats/agility/diff,stats/jumping/value,stats/jumping/diff,stats/stamina/value,stats/stamina/diff,stats/strength/value,stats/strength/diff,stats/aggression/value,stats/aggression/diff,stats/balance/value,stats/balance/diff,stats/ballControl/value,stats/ballControl/diff,stats/composure/value,stats/composure/diff,stats/crossing/value,stats/crossing/diff,stats/curve/value,stats/curve/diff,stats/def/value,stats/def/diff,stats/defensiveAwareness/value,stats/defensiveAwareness/diff,stats/dri/value,stats/dri/diff,stats/dribbling/value,stats/dribbling/diff,stats/finishing/value,stats/finishing/diff,stats/freeKickAccuracy/value,stats/freeKickAccuracy/diff,stats/gkDiving/value,stats/gkDiving/diff,stats/gkHandling/value,stats/gkHandling/diff,stats/gkKicking/value,stats/gkKicking/diff,stats/gkPositioning/value,stats/gkPositioning/diff,stats/gkReflexes/value,stats/gkReflexes/diff,stats/headingAccuracy/value,stats/headingAccuracy/diff,stats/interceptions/value,stats/interceptions/diff,stats/longPassing/value,stats/longPassing/diff,stats/longShots/value,stats/longShots/diff,stats/pac/value,stats/pac/diff,stats/pas/value,stats/pas/diff,stats/penalties/value,stats/penalties/diff,stats/phy/value,stats/phy/diff,stats/positioning/value,stats/positioning/diff,stats/reactions/value,stats/reactions/diff,stats/sho/value,stats/sho/diff,stats/shortPassing/value,stats/shortPassing/diff,stats/shotPower/value,stats/shotPower/diff,stats/slidingTackle/value,stats/slidingTackle/diff,stats/sprintSpeed/value,stats/sprintSpeed/diff,stats/standingTackle/value,stats/standingTackle/diff,stats/vision/value,stats/vision/diff,stats/volleys/value,stats/volleys/diff,alternatePositions/0,alternatePositions/2/id,alternatePositions/2/label,alternatePositions/2/shortLabel,playerAbilities/4/id,playerAbilities/4/label,playerAbilities/4/description,playerAbilities/4/imageUrl,playerAbilities/4/type/id,playerAbilities/4/type/label,playerAbilities/5/id,playerAbilities/5/label,playerAbilities/5/description,playerAbilities/5/imageUrl,playerAbilities/5/type/id,playerAbilities/5/type/label,team
211368,1182,78,Armindo,Tué Na Bangna,Bruma,10/24/1994 12:00:00 AM,173,4,3,1,Liga Portugal,70,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p211368.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/211368.png?width=265,16,Left Midfielder,LM,18,Center Attacking Midfielder,CAM,trait1_128,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,https://drop-assets.ea.com/images/2v8I0GQrtREaEJzJcyStKe/e46d719e4e5ed88ac5a1f671c7448f4a/Gamechanger.png,playStyle,Play Style,trait1_2097152,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",https://drop-assets.ea.com/images/1aGsvwKyIFlRG1eoJSS0Ot/a4d3d661ff962795a632fe86439d2146/Rapid.png,playStyle,Play Style,trait1_8388608,Trickster,Performs unique flick Skill Moves,https://drop-assets.ea.com/images/47Ygd5ri33RgjIYGiTAJpj/f0723e6f2f89a98fb6e8200c3659c6a9/Trickster.png,playStyle,Play Style,trait1_33554432,Quick Step,Faster acceleration during Explosive Sprint,https://drop-assets.ea.com/images/1xG25Zp3wvkLA5YewKiZah/f27f5fabd1e899fc0bbb817d2db233b1/Quick_Step.png,playStyle,Play Style,0,Men's Football,38,Portugal,https://drop-assets.ea.com/images/3CxRD7XqY2NSlZ3628fY4S/abf38470644ee334e6a425b9272f7767/f_38.png,234,SL Benfica,https://drop-assets.ea.com/images/2DamHkQ1ZP1CYVjFPp6ofg/3e07292021842fdadb7aaaa84e7473aa/l234.png,false,27,LW,Left Wing,attack,Attack,91,0,90,0,71,0,70,0,56,0,60,0,78,0,80,0,80,0,71,0,79,0,32,0,26,0,81,0,81,0,79,0,74,0,11,0,13,0,8,0,12,0,8,0,53,0,38,0,61,0,77,0,88,0,71,0,72,0,61,0,79,0,66,0,77,0,70,0,77,0,28,0,86,0,27,0,77,0,70,0,,,,,,,,,,,,,,,,,
241788,1183,78,Mehdi,Taremi,,7/18/1992 12:00:00 AM,187,4,4,1,Hellas Liga,83,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p241788.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/241788.png?width=265,,,,,,,trait1_4194304,First Touch,"Reduced trapping error, faster dribbling transition",https://drop-assets.ea.com/images/3f727XsoDVLbT49oMk0HBu/2787568be8ccb2d5daa2d18fabacad97/First_Touch.png,playStyle,Play Style,,,,,,,,,,,,,,,,,,,0,Men's Football,161,Iran,https://drop-assets.ea.com/images/3HkQfeosV5C3VhglW0M218/837af897951792aa4aec16144e059f62/f_161.png,280,Olympiacos FC,https://drop-assets.ea.com/images/2hyiQlv23Ipa7IOEtN7qAv/39a4514bd5a02d0d6db09d8eb2564c8f/l280.png,false,25,ST,Striker,attack,Attack,77,0,74,0,80,0,65,0,77,0,46,0,62,0,80,0,84,0,70,0,74,0,38,0,38,0,78,0,78,0,80,0,49,0,9,0,11,0,9,0,15,0,8,0,76,0,23,0,65,0,72,0,74,0,74,0,85,0,68,0,82,0,76,0,78,0,79,0,75,0,25,0,72,0,41,0,81,0,75,0,,,,,,,,,,,,,,,,,
242374,1184,78,Musa,Barrow,,11/14/1998 12:00:00 AM,183,4,4,1,ROSHN Saudi League,70,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p242374.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/242374.png?width=265,16,Left Midfielder,LM,27,Left Wing,LW,trait1_4,Power Shot,Faster power shots with increased speed,https://drop-assets.ea.com/images/3ohVoKWSsvT44qgjabWqfV/e536ef26ad854c3c4cbf63ed7954b9cd/Power_Shot.png,playStyle,Play Style,trait1_2097152,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",https://drop-assets.ea.com/images/1aGsvwKyIFlRG1eoJSS0Ot/a4d3d661ff962795a632fe86439d2146/Rapid.png,playStyle,Play Style,,,,,,,,,,,,,0,Men's Football,116,Gambia,https://drop-assets.ea.com/images/1SvfttEEIRJEACIudja4dN/d8cb6d0cd93926f3a452ade2c5f934dd/f_116.png,112393,Al Taawoun,https://drop-assets.ea.com/images/7p6TA5ewyxs1qzy8ym2ydy/15c716ca66c2ffcbed401be345ff6f8e/l112393.png,false,25,ST,Striker,attack,Attack,82,0,78,0,79,0,75,0,70,0,40,0,57,0,78,0,70,0,66,0,73,0,32,0,45,0,77,0,79,0,78,0,64,0,8,0,6,0,14,0,14,0,12,0,65,0,20,0,61,0,86,0,85,0,70,0,61,0,66,0,78,0,78,0,80,0,75,0,86,0,16,0,88,0,20,0,73,0,65,0,,18,Center Attacking Midfielder,CAM,,,,,,,,,,,,,
250789,1185,78,Dilane,Bakwa,,8/26/2002 12:00:00 AM,180,4,2,2,Premier League,77,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p250789.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/250789.png?width=265,23,Right Wing,RW,,,,trait1_8,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",https://drop-assets.ea.com/images/1razu2wcM3XA82VvB7NyUm/eec6b07080e49d6bf2d7a7951a22375f/Dead_Ball.png,playStyle,Play Style,trait1_128,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,https://drop-assets.ea.com/images/2v8I0GQrtREaEJzJcyStKe/e46d719e4e5ed88ac5a1f671c7448f4a/Gamechanger.png,playStyle,Play Style,trait1_1048576,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png,playStyle,Play Style,,,,,,,0,Men's Football,18,France,https://drop-assets.ea.com/images/3ECAQzhfgSLWRf9IIHB6G8/7e235a7b2f93c1f73db7f89dc03b3657/f_18.png,14,Nott'm Forest,https://drop-assets.ea.com/images/60CgBQCMt7Dtcjip9xUxg8/5fa49387c380bf4772138b215ef4fd85/l14.png,false,12,RM,Right Midfielder,midfielder,Midfielder,90,0,84,0,70,0,74,0,69,0,48,0,76,0,80,0,79,0,74,0,81,0,30,0,27,0,81,0,82,0,72,0,63,0,7,0,12,0,15,0,6,0,5,0,44,0,35,0,64,0,74,0,88,0,73,0,59,0,66,0,73,0,75,0,72,0,75,0,74,0,28,0,86,0,26,0,76,0,63,0,,,,,,,,,,,,,,,,,
76687,1187,78,Estêvão Willian,Almeida,Estêvão,4/24/2007 12:00:00 AM,176,4,2,2,Premier League,70,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p76687.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/76687.png?width=265,18,Center Attacking Midfielder,CAM,23,Right Wing,RW,trait1_1,Finesse Shot,Faster finesse shots with more curve and accuracy,https://drop-assets.ea.com/images/468u1R1p2k1fA6WBHi0OEn/fb9d49ed2a8fb500cd5a184937b96b34/Finesse_Shot.png,playStyle,Play Style,trait1_8192,Inventive,Fancy and Trivela passes are performed with improved accuracy.,https://drop-assets.ea.com/images/4fpo31RdL5T0vrzNqcSc4x/f82209bfd51270dcc447d4313b3e61f1/Inventive.png,playStyle,Play Style,trait1_1048576,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png,playStyle,Play Style,trait1_33554432,Quick Step,Faster acceleration during Explosive Sprint,https://drop-assets.ea.com/images/1xG25Zp3wvkLA5YewKiZah/f27f5fabd1e899fc0bbb817d2db233b1/Quick_Step.png,playStyle,Play Style,0,Men's Football,54,Brazil,https://drop-assets.ea.com/images/1zdNn1R9tRlfQ3lsbAOecD/a606f742789b6306363383a6e20dd003/f_54.png,5,Chelsea,https://drop-assets.ea.com/images/6T0vfhzb3y9R6YVtmVwYcD/b99723a87536e30979c7cbdb8bba9310/l5.png,false,12,RM,Right Midfielder,midfielder,Midfielder,91,0,91,0,66,0,67,0,49,0,62,0,93,0,79,0,80,0,77,0,78,0,33,0,28,0,82,0,82,0,73,0,71,0,9,0,15,0,13,0,6,0,11,0,52,0,34,0,66,0,75,0,90,0,73,0,68,0,57,0,75,0,74,0,74,0,73,0,79,0,27,0,89,0,34,0,75,0,66,0,,,,,,,,,,,,,,,,,
240359,1189,78,Omar,Alderete,,12/26/1996 12:00:00 AM,188,2,3,2,Premier League,77,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p240359.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/240359.png?width=265,,,,,,,trait1_16,Precision Header,Performs headers with increased accuracy and power.,https://drop-assets.ea.com/images/3ync8fbblS4zLzF3p1VXmT/7752a5103c2ebd8be5cf1819379c66f4/Precision_Header.png,playStyle,Play Style,trait1_1024,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",https://drop-assets.ea.com/images/7jwRDD4zkOsqRpc821t73d/16d46d57a5dfc7dd5dd5f8de0fd26a99/Long_Ball_Pass.png,playStyle,Play Style,trait1_524288,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,https://drop-assets.ea.com/images/3rsDbUXd3MZX39YTsk6lKe/404db89f2237eeb7466668a730c52a4b/Aerial_Fortress.png,playStyle,Play Style,,,,,,,0,Men's Football,58,Paraguay,https://drop-assets.ea.com/images/7GnvdwxPnTAwltd8pd67fA/a7696e8a25b652f669ef48e55b92b1f5/f_58.png,106,Sunderland,https://drop-assets.ea.com/images/6ja62Iw2LyY8cVrud4aSHi/aa6c15e4a2ceed66f92099108bea9dfa/l106.png,false,5,CB,Center Back,defense,Defense,56,0,68,0,82,0,71,0,81,0,79,0,58,0,69,0,68,0,58,0,56,0,79,0,80,0,69,0,70,0,55,0,53,0,7,0,13,0,14,0,13,0,15,0,79,0,78,0,66,0,67,0,60,0,62,0,45,0,78,0,62,0,75,0,61,0,70,0,74,0,75,0,63,0,79,0,51,0,48,0,,,,,,,,,,,,,,,,,
256958,1190,78,Fábio Daniel,Ferreira Vieira,Fábio Vieira,5/30/2000 12:00:00 AM,176,3,3,2,Bundesliga,61,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p256958.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/256958.png?width=265,12,Right Midfielder,RM,14,Center Midfielder,CM,trait1_8,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",https://drop-assets.ea.com/images/1razu2wcM3XA82VvB7NyUm/eec6b07080e49d6bf2d7a7951a22375f/Dead_Ball.png,playStyle,Play Style,trait1_2048,Tiki Taka,Accurate first-time Ground Passes,https://drop-assets.ea.com/images/2tvHC5JQ2sXrN8wUTJWLEA/94b0f6a78d1a9e1348a33c9772f23afd/Tiki_Taka.png,playStyle,Play Style,,,,,,,,,,,,,0,Men's Football,38,Portugal,https://drop-assets.ea.com/images/3CxRD7XqY2NSlZ3628fY4S/abf38470644ee334e6a425b9272f7767/f_38.png,28,Hamburger SV,https://drop-assets.ea.com/images/Vwj9mu65nCqScjLevwVoY/37cf47cedf66f85ed8078fe491b122a7/l28.png,false,18,CAM,Center Attacking Midfielder,midfielder,Midfielder,73,0,77,0,56,0,63,0,48,0,51,0,71,0,80,0,76,0,74,0,74,0,56,0,57,0,78,0,79,0,71,0,68,0,9,0,5,0,15,0,13,0,6,0,46,0,58,0,79,0,76,0,71,0,78,0,69,0,53,0,73,0,76,0,73,0,80,0,77,0,48,0,70,0,60,0,82,0,65,0,,,,,,,,,,,,,,,,,
263139,1191,78,Dominik,Greif,,4/6/1997 12:00:00 AM,197,1,3,1,Ligue 1 McDonald's,82,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p263139.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/263139.png?width=250,,,,,,,trait2_1,Far Throw,Unique goalkeeper throw animations with longer throw distance,https://drop-assets.ea.com/images/3CjCz29sjIt1xMZTRDi4vQ/8ecb201b0ae7d6d536d03c847a768ffa/Far_Throw.png,playStyle,Play Style,,,,,,,,,,,,,,,,,,,0,Men's Football,43,Slovakia,https://drop-assets.ea.com/images/2cEMaB5jOYRIFsJQCycahY/6156324301f1c5f425d6c65141ced57b/f_43.png,66,OL,https://drop-assets.ea.com/images/s2BAEtejMk8pyJDqN3uyR/9938fd597d35ed59158d5b441aa07455/l66.png,false,0,GK,Goalkeeper,defense,Defense,25,0,21,0,56,0,17,0,60,0,16,0,21,0,17,0,32,0,14,0,12,0,24,0,8,0,77,0,10,0,9,0,10,0,77,0,76,0,78,0,77,0,77,0,10,0,14,0,17,0,5,0,77,0,78,0,14,0,77,0,7,0,75,0,76,0,25,0,59,0,11,0,22,0,11,0,34,0,5,0,,,,,,,,,,,,,,,,,
266096,1192,78,Tomás,Lemos Araújo,Tomás Araújo,5/16/2002 12:00:00 AM,187,3,2,1,Liga Portugal,81,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p266096.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/266096.png?width=265,3,Right Back,RB,12,Right Midfielder,RM,trait1_1024,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",https://drop-assets.ea.com/images/7jwRDD4zkOsqRpc821t73d/16d46d57a5dfc7dd5dd5f8de0fd26a99/Long_Ball_Pass.png,playStyle,Play Style,trait1_16384,Jockey,"Faster Sprint Jockey, better transition speed",https://drop-assets.ea.com/images/7lHjpOBSghE6Ywt1jgVv1C/21f9914d00f073d79d4b46cac71b9087/Jockey.png,playStyle,Play Style,,,,,,,,,,,,,0,Men's Football,38,Portugal,https://drop-assets.ea.com/images/3CxRD7XqY2NSlZ3628fY4S/abf38470644ee334e6a425b9272f7767/f_38.png,234,SL Benfica,https://drop-assets.ea.com/images/2DamHkQ1ZP1CYVjFPp6ofg/3e07292021842fdadb7aaaa84e7473aa/l234.png,false,5,CB,Center Back,defense,Defense,81,0,63,0,89,0,75,0,82,0,73,0,58,0,76,0,74,0,58,0,52,0,77,0,75,0,72,0,72,0,25,0,30,0,12,0,11,0,7,0,9,0,13,0,74,0,78,0,79,0,22,0,82,0,69,0,39,0,79,0,52,0,78,0,30,0,78,0,40,0,74,0,83,0,80,0,71,0,34,0,,,,,,,,,,,,,,,,,
270086,1197,78,António João,Tavares Silva,António Silva,10/30/2003 12:00:00 AM,187,2,2,1,Liga Portugal,82,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p270086.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/270086.png?width=265,,,,,,,trait1_1024,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",https://drop-assets.ea.com/images/7jwRDD4zkOsqRpc821t73d/16d46d57a5dfc7dd5dd5f8de0fd26a99/Long_Ball_Pass.png,playStyle,Play Style,trait1_32768,Block,Increased reach and success in blocking,https://drop-assets.ea.com/images/2Rlftzr8lqUdI29suCQVWe/43c6c36e8bd5fa26b88478d4354611a2/Block.png,playStyle,Play Style,,,,,,,,,,,,,0,Men's Football,38,Portugal,https://drop-assets.ea.com/images/3CxRD7XqY2NSlZ3628fY4S/abf38470644ee334e6a425b9272f7767/f_38.png,234,SL Benfica,https://drop-assets.ea.com/images/2DamHkQ1ZP1CYVjFPp6ofg/3e07292021842fdadb7aaaa84e7473aa/l234.png,false,5,CB,Center Back,defense,Defense,78,0,57,0,83,0,83,0,83,0,70,0,58,0,73,0,77,0,45,0,36,0,78,0,80,0,69,0,69,0,31,0,26,0,12,0,10,0,8,0,6,0,8,0,76,0,74,0,76,0,22,0,80,0,64,0,40,0,80,0,34,0,75,0,37,0,77,0,60,0,77,0,81,0,81,0,68,0,51,0,,,,,,,,,,,,,,,,,
